book_id,title,saint_canonical,final_dates,sinksar_expected_annual,sinksar_expected_monthly_day,tselot_current_dates,missing_vs_verified,extra_vs_verified,action_needed
AM-DRS-005,ድርሳነ ኤልያስ ነቢይ በአማርኛ,,"ታኅሣሥ 1, ጥር 6, ነሐሴ 13 / Monthly Day 6","[(4, 1), (5, 6), (12, 13)]",6,"[(1, 6), (2, 6), (3, 6), (4, 1), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (9, 6), (10, 6), (11, 6), (12, 6), (12, 13)]","[(13, 6)]",[],"MISSING [(13, 6)] should ADD, EXTRA [] should REMOVE?"
AM-DRS-010,ድርሳነ ቅዱስ ራጉኤል በአማርኛ,ቅዱስ ራጉኤል,"መስከረም 1, ጳጉሜ 6 / Monthly Day 1","[(1, 1), (13, 6)]",1,"[(1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 6)]","[(13, 1)]",[],"MISSING [(13, 1)] should ADD, EXTRA [] should REMOVE?"
AM-GDL-007,ገድለ አቡነ ገብረ መንፈስ ቅዱስ በአማርኛ,አቡነ ገብረ መንፈስ ቅዱስ,"ጥቅምት 5, ታኅሣሥ 29, መጋቢት 5, መጋቢት 29 / Monthly Day 5","[(2, 5), (4, 29), (7, 5), (7, 29)]",5,"[(1, 5), (2, 5), (3, 5), (4, 5), (4, 29), (5, 5), (6, 5), (7, 5), (7, 29), (8, 5), (9, 5), (10, 5), (11, 5), (12, 5)]","[(13, 5)]",[],"MISSING [(13, 5)] should ADD, EXTRA [] should REMOVE?"
AM-GDL-008,ገድለ ሰማዕት ቅድስት አርሴማ በአማርኛ,ቅድስት አርሴማ,"መስከረም 29, ታኅሣሥ 6, ሰኔ 17 / Monthly Day 6","[(1, 29), (4, 6), (10, 17)]",6,"[(1, 6), (1, 29), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (9, 6), (10, 6), (10, 17), (11, 6), (12, 6)]","[(13, 6)]",[],"MISSING [(13, 6)] should ADD, EXTRA [] should REMOVE?"
AM-GDL-013,የቅዱስ ዮሐንስ ገድል በአማርኛ,ቅዱስ ዮሐንስ ወንጌላዊ,"መስከረም 4, መስከረም 29, ጥር 4, ግንቦት 16, ሐምሌ 27 / Monthly Day 4","[(1, 4), (1, 29), (5, 4), (9, 16), (11, 27)]",4,"[(1, 4), (1, 29), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (9, 16), (10, 4), (11, 4), (11, 27), (12, 4)]","[(13, 4)]",[],"MISSING [(13, 4)] should ADD, EXTRA [] should REMOVE?"
AM-GDL-019,ገድለ አዳም በአማርኛ,አዳም ወሔዋን,ሚያዝያ 6 / Monthly Day 6,"[(8, 6)]",6,"[(1, 6), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (9, 6), (10, 6), (11, 6), (12, 6)]","[(13, 6)]",[],"MISSING [(13, 6)] should ADD, EXTRA [] should REMOVE?"
AM-GDL-028,ገድለ አቡነ አሮን መንክራዊ በአማርኛ,አቡነ አሮን መንክራዊ,መስከረም 5 / Monthly Day 5,"[(1, 5)]",5,"[(1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5), (11, 5), (12, 5)]","[(13, 5)]",[],"MISSING [(13, 5)] should ADD, EXTRA [] should REMOVE?"
AM-GDL-030,ገድለ ሰማዕት ቅዱስ ቴዎድሮስ በአማርኛ,ቅዱስ ቴዎድሮስ,"ኅዳር 5, ኅዳር 20, ጥር 12, የካቲት 28 / Monthly Day 12, 20","[(3, 5), (3, 20), (5, 12), (6, 28)]",12,"[(1, 12), (1, 20), (2, 12), (2, 20), (3, 5), (3, 12), (3, 20), (4, 12), (4, 20), (5, 12), (5, 20), (6, 12), (6, 20), (6, 28), (7, 12), (7, 20), (8, 12), (8, 20), (9, 12), (9, 20), (10, 12), (10, 20), (11, 12), (11, 20), (12, 12), (12, 20)]",[],"[(1, 20), (2, 20), (4, 20), (5, 20), (6, 20), (7, 20), (8, 20), (9, 20), (10, 20), (11, 20), (12, 20)]","MISSING [] should ADD, EXTRA [(1, 20), (2, 20), (4, 20), (5, 20), (6, 20), (7, 20), (8, 20), (9, 20), (10, 20), (11, 20), (12, 20)] should REMOVE?"
AM-MEL-001,መልክአ ኖላዊ በአማርኛ,ኖላዊ ሔር,"ታኅሣሥ 21 / Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ","[(4, 21)]",21,[],"[(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 21), (10, 21), (11, 21), (12, 21)]",[],"MISSING [(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 21), (10, 21), (11, 21), (12, 21)] should ADD, EXTRA [] should REMOVE?"
AM-MEL-010,መልክዐ ሥላሴ በአማርኛ,ቅድስት ሥላሴ,"ሐምሌ 7 / Monthly Day 7 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ","[(11, 7)]",7,[],"[(1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (12, 7)]",[],"MISSING [(1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (12, 7)] should ADD, EXTRA [] should REMOVE?"
