book_id,title,saint_canonical,ethiopian_month,ethiopian_day,is_annual,notes,sinksar_has_saint,sinksar_actual_on_day,question_action
AM-DRS-001,የቅዱስ ኢያቄምና- የቅድስት ሐና ድርሳን በአማርኛ,ሐና,1,7,1,ANNUAL,NO,እናታችን ቅድስት ኤልሳቤጥ (እናታችን ቅድስት ኤልሳቤጥ); ዲዮስቆሮስ ሊቅ (ቅዱስ ዲዮስቆሮስ ሊቅ (የተዋሕዶ ሃይማኖት አባት); ታላቁ ቅዱስ ሳዊርያኖስ (ታላቁ ቅዱስ ሳዊርያኖስ),In Sinksar NO ሐና on 1/7 but App DB has 1/7 - which correct? REMOVE 1/7?
AM-DRS-001,የቅዱስ ኢያቄምና- የቅድስት ሐና ድርሳን በአማርኛ,ሐና,8,7,1,ANNUAL,NO,ሥሉስ ቅዱስ (ሥሉስ ቅዱስ (አብ ወወልድ ወመንፈስ ቅዱስ)); ጊዮርጊስ ዘጋስጫ (አባ ጊዮርጊስ ዘጋስጫ); ዳንኤል ዘገዳመ ሲሐት (አባ ዳንኤል ዘገዳመ ሲሐት),In Sinksar NO ሐና on 8/7 but App DB has 8/7 - which correct? REMOVE 8/7?
AM-DRS-004,ድርሳነ መድኃኔ ዓለም በአማርኛ,መድኃኔ ዓለም,3,27,1,ANNUAL+MONTHLY,NO,ያዕቆብ ዘግሙድ (ቅዱስ ያዕቆብ ዘግሙድ); ተክለ ሐዋርያት (አቡነ ተክለ ሐዋርያት ጻድቅ); ቀሌምንጦስ (ቅዱስ ቀሌምንጦስ ሰማዕት),In Sinksar NO መድኃኔ ዓለም on 3/27 but App DB has 3/27 - which correct? REMOVE 3/27?
AM-DRS-004,ድርሳነ መድኃኔ ዓለም በአማርኛ,መድኃኔ ዓለም,7,27,1,ANNUAL+MONTHLY,NO,ቅዱሳት አንስት (ቅዱሳት አንስት (ከእግረ መስቀሉ ያልተለዩ)); 500' ቅዱሳን ባልንጀሮች (500' ቅዱሳን ባልንጀሮች (በጌታ ስቅለት ጊዜ ); ዮሴፍና ኒቆዲሞስ (ቅዱሳን ዮሴፍና ኒቆዲሞስ),In Sinksar NO መድኃኔ ዓለም on 7/27 but App DB has 7/27 - which correct? REMOVE 7/27?
AM-DRS-008,ድርሳነ መስቀል በአማርኛ,መስቀል,3,8,1,ANNUAL,NO,፬ቱ እንስሳ (ቅዱሳን ፬ቱ እንስሳ (ኪሩቤል)); አፍኒን ሊቀ መላእክት (ቅዱስ አፍኒን ሊቀ መላእክት); ቆስጠንጢኖስ ንጉሥ (ቅዱስ ቆስጠንጢኖስ ንጉሥ (ዘምስለ ቅዱስ መስቀል),In Sinksar NO መስቀል on 3/8 but App DB has 3/8 - which correct? REMOVE 3/8?
AM-DRS-010,ድርሳነ ቅዱስ ራጉኤል በአማርኛ,ቅዱስ ራጉኤል,13,6,1,ANNUAL,NO,,In Sinksar NO ቅዱስ ራጉኤል on 13/6 but App DB has 13/6 - which correct? REMOVE 13/6?
AM-GDL-004,ገድለ ተክለ ሃይማኖት በአማርኛ,አቡነ ተክለ ሃይማኖት,9,12,1,ANNUAL,NO,ዮሐንስ አፈ ወርቅ (ቅዱስ ዮሐንስ አፈ ወርቅ (የዓለም ሁሉ መምሕር)); ሚካኤል ሊቀ መላዕክት (ቅዱስ ሚካኤል ሊቀ መላዕክት); ቴዎድሮስ ምሥራቃዊ (ቅዱስ ቴዎድሮስ ምሥራቃዊ (ሰማዕት)),In Sinksar NO አቡነ ተክለ ሃይማኖት on 9/12 but App DB has 9/12 - which correct? REMOVE 9/12?
AM-GDL-005,ገድለ ቅድስት ክርስቶስ ሠምራ በአማርኛ,ቅድስት ክርስቶስ ሠምራ,9,12,1,ANNUAL,NO,ዮሐንስ አፈ ወርቅ (ቅዱስ ዮሐንስ አፈ ወርቅ (የዓለም ሁሉ መምሕር)); ሚካኤል ሊቀ መላዕክት (ቅዱስ ሚካኤል ሊቀ መላዕክት); ቴዎድሮስ ምሥራቃዊ (ቅዱስ ቴዎድሮስ ምሥራቃዊ (ሰማዕት)),In Sinksar NO ቅድስት ክርስቶስ ሠምራ on 9/12 but App DB has 9/12 - which correct? REMOVE 9/12?
AM-GDL-010,ገድለ ሰማዕታት በአማርኛ,ሰማዕታት,6,12,1,ANNUAL,NO,"""30,000 ሰማዕታተ ኢትዮዽያ (""30,000 ሰማዕታተ ኢትዮዽያ (ሮማዊው ፋሽስት); ሶምሶን ረዓይታዊ (ቅዱስ ሶምሶን ረዓይታዊ (የእስራኤል መስፍን)); ገላስዮስ ገዳማዊ (ቅዱስ አባ ገላስዮስ ገዳማዊ)",In Sinksar NO ሰማዕታት on 6/12 but App DB has 6/12 - which correct? REMOVE 6/12?
AM-GDL-012,ገድለ አቡነ ዘርዐ ቡሩከ በአማርኛ,አቡነ ዘርዐ ቡሩክ,4,13,1,ANNUAL+MONTHLY,NO,ዘርዓ ቡሩክ (አቡነ ዘርዓ ቡሩክ ጻድቅ); መቃርስ ገዳማዊ (ቅዱስ መቃርስ ገዳማዊ); አብራኮስ ገዳማዊ (አባ አብራኮስ ገዳማዊ),In Sinksar NO አቡነ ዘርዐ ቡሩክ on 4/13 but App DB has 4/13 - which correct? REMOVE 4/13?
AM-GDL-012,ገድለ አቡነ ዘርዐ ቡሩከ በአማርኛ,አቡነ ዘርዐ ቡሩክ,5,13,1,ANNUAL+MONTHLY,NO,ዘርዓ ቡሩክ ኢትዮዽያዊ (አቡነ ዘርዓ ቡሩክ ኢትዮዽያዊ (እረፍታቸው)); ሰባቱ ደቂቅ ቅዱሳን (ሰባቱ ደቂቅ ቅዱሳን (ከኤፌሶን)); ቃሮስና ሰሚኖስ (ቅዱሳን ቃሮስና ሰሚኖስ),In Sinksar NO አቡነ ዘርዐ ቡሩክ on 5/13 but App DB has 5/13 - which correct? REMOVE 5/13?
AM-GDL-016,ገድለ አቡነ አረጋዊ በአማርኛ,አቡነ አረጋዊ,2,14,1,ANNUAL+MONTHLY,NO,ፊልዾስ ሐዋርያ (ቅዱስ ፊልዾስ ሐዋርያ (ከ፸፪ቱ አርድእት)); ገብረ ክርስቶስ መርዓዊ (ቅዱስ ገብረ ክርስቶስ መርዓዊ); ሙሴ መርዓዊ (ቅዱስ ሙሴ መርዓዊ),In Sinksar NO አቡነ አረጋዊ on 2/14 but App DB has 2/14 - which correct? REMOVE 2/14?
AM-GDL-016,ገድለ አቡነ አረጋዊ በአማርኛ,አቡነ አረጋዊ,5,14,1,ANNUAL+MONTHLY,NO,"አርከሌድስ (ቅዱስ አባ አርከሌድስ); ""፵፻፴፬""ሰማዕታት (""፵፻፴፬""ሰማዕታት (ማሕበራነ ቅዱስ ቂርቆስ)); ገብረ ክርስቶስ (ቅዱስ ገብረ ክርስቶስ (ሙሽራው))",In Sinksar NO አቡነ አረጋዊ on 5/14 but App DB has 5/14 - which correct? REMOVE 5/14?
AM-GDL-017,ገድለ አቡነ ገሪማ በአማርኛ,አቡነ ገሪማ,10,17,1,ANNUAL+MONTHLY,NO,ብጹዕ አባ ገሪማ  ዘመደራ (ብጹዕ አባ ገሪማ (ይስሐቅ) ዘመደራ); ለትጹን ዐቢይ ወየዋሕ (አባ ለትጹን ዐቢይ ወየዋሕ); ዸላሞን ፈላሲ (አባ ዸላሞን ፈላሲ),In Sinksar NO አቡነ ገሪማ on 10/17 but App DB has 10/17 - which correct? REMOVE 10/17?
AM-GDL-019,ገድለ አዳም በአማርኛ,አዳም ወሔዋን,8,6,1,ANNUAL+MONTHLY,NO,አዳምና ሔዋን (ቅዱሳን አዳምና ሔዋን (የዕረፍታቸው መታሠቢያ)); ልበ አምላክ ቅዱስ ዳዊት (ልበ አምላክ ቅዱስ ዳዊት (ልደቱ)); አባታችን ቅዱስ ኖኅ (አባታችን ቅዱስ ኖኅ (ልደቱ)),In Sinksar NO አዳም ወሔዋን on 8/6 but App DB has 8/6 - which correct? REMOVE 8/6?
AM-GDL-020,ገድለ እምነ ወለተ ጴጥሮስ በአማርኛ,እምነ ወለተ ጴጥሮስ,3,17,1,ANNUAL+MONTHLY,NO,ዮሐንስ አፈ ወርቅ (ቅዱስ ዮሐንስ አፈ ወርቅ (ፍልሠቱ)); ወለተ ዼጥሮስ ኢትዮዽያዊት (ቅድስት ወለተ ዼጥሮስ ኢትዮዽያዊት); ጻድቃን እለ ወጺፍ (ጻድቃን እለ ወጺፍ),In Sinksar NO እምነ ወለተ ጴጥሮስ on 3/17 but App DB has 3/17 - which correct? REMOVE 3/17?
AM-GDL-021,ገድለ አቡነ ኪሮስ በአማርኛ,አቡነ ኪሮስ,11,8,1,ANNUAL+MONTHLY,NO,ኪሮስ ጻድቅ (አቡነ ኪሮስ ጻድቅ (አረጋዊና ገዳማዊ)); ብሶይ ጻድቅ (አባ ብሶይ ጻድቅ (ኮከበ ገዳም)); ሚሳኤል ነዳይ (አባ ሚሳኤል ነዳይ (ጻድቅ)),In Sinksar NO አቡነ ኪሮስ on 11/8 but App DB has 11/8 - which correct? REMOVE 11/8?
AM-GDL-022,የመባዓ ጽዮን ገድል በአማርኛ,ገድል,2,27,1,ANNUAL+MONTHLY,NO,ጌታችን ኢየሱስ ክርስቶስ (ጌታችን ኢየሱስ ክርስቶስ); መቃርስ ብጹዓዊ (ቅዱስ መቃርስ ብጹዓዊ); መባዓ ጽዮን (አቡነ መብዓ ጽዮን ጻድቅ),In Sinksar NO ገድል on 2/27 but App DB has 2/27 - which correct? REMOVE 2/27?
AM-GOL-001,የሰኔ ጎልጎታ በአማርኛ,ጎልጎታ,10,21,1,ANNUAL+MONTHLY,NO,ድንግል ማርያም (እመቤታችን ቅድስት ድንግል ማርያም); ቤተ ክርስቲያን (ቅድስት ቤተ ክርስቲያን); ጴጥሮስ ሊቀ ሐዋርያት (ቅዱስ ጴጥሮስ ሊቀ ሐዋርያት),In Sinksar NO ጎልጎታ on 10/21 but App DB has 10/21 - which correct? REMOVE 10/21?
AM-MEL-005,መልክዐ መቃርዮስ በአማርኛ,ቅዱስ መቃርዮስ,5,8,1,ANNUAL,NO,ታላቁ ቅዱስ መቃርስ (ታላቁ ቅዱስ መቃርስ); እንድራኒቆስ ሊቀ ዻዻሳት (አባ እንድራኒቆስ ሊቀ ዻዻሳት); ብንያሚን ሊቀ ዻዻሳት (አባ ብንያሚን ሊቀ ዻዻሳት),In Sinksar NO ቅዱስ መቃርዮስ on 5/8 but App DB has 5/8 - which correct? REMOVE 5/8?
AM-MEL-005,መልክዐ መቃርዮስ በአማርኛ,ቅዱስ መቃርዮስ,7,27,1,ANNUAL+MONTHLY,NO,ቅዱሳት አንስት (ቅዱሳት አንስት (ከእግረ መስቀሉ ያልተለዩ)); 500' ቅዱሳን ባልንጀሮች (500' ቅዱሳን ባልንጀሮች (በጌታ ስቅለት ጊዜ ); ዮሴፍና ኒቆዲሞስ (ቅዱሳን ዮሴፍና ኒቆዲሞስ),In Sinksar NO ቅዱስ መቃርዮስ on 7/27 but App DB has 7/27 - which correct? REMOVE 7/27?
AM-MEL-005,መልክዐ መቃርዮስ በአማርኛ,ቅዱስ መቃርዮስ,11,14,1,ANNUAL,NO,አብሮኮሮንዮስ (ቅዱስ አብሮኮሮንዮስ ሰማዕት); ክርስቶፎሮስና ቴዎዳስያ (ቅዱሳን ክርስቶፎሮስና ቴዎዳስያ (ወላጆቹ)); ታላቁ ቅዱስ መቃርስ (ታላቁ ቅዱስ መቃርስ (የመነኮሳት አለቃ)),In Sinksar NO ቅዱስ መቃርዮስ on 11/14 but App DB has 11/14 - which correct? REMOVE 11/14?
AM-MEL-005,መልክዐ መቃርዮስ በአማርኛ,ቅዱስ መቃርዮስ,12,19,1,ANNUAL,NO,ተዝካረ ፍልሠታ ለማርያም ድንግል (ተዝካረ ፍልሠታ ለማርያም ድንግል (፬ኛ ቀን)); ታላቁ ቅዱስ መቃርስ (ታላቁ ቅዱስ መቃርስ (ፍልሠቱ)); አባታችን ቅዱስ አብርሃም (አባታችን ቅዱስ አብርሃም (ጣዖቱን የሰበረበት)),In Sinksar NO ቅዱስ መቃርዮስ on 12/19 but App DB has 12/19 - which correct? REMOVE 12/19?
AM-MEL-012,መልክዐ ቅዱስ መስቀል በአማርኛ,መስቀል,3,8,1,ANNUAL,NO,፬ቱ እንስሳ (ቅዱሳን ፬ቱ እንስሳ (ኪሩቤል)); አፍኒን ሊቀ መላእክት (ቅዱስ አፍኒን ሊቀ መላእክት); ቆስጠንጢኖስ ንጉሥ (ቅዱስ ቆስጠንጢኖስ ንጉሥ (ዘምስለ ቅዱስ መስቀል),In Sinksar NO መስቀል on 3/8 but App DB has 3/8 - which correct? REMOVE 3/8?
AM-MEL-013,መልክዐ ቅዱስ ሚናስ በአማርኛ,ቅዱስ ሚናስ ሰማዕት,3,15,1,ANNUAL+MONTHLY,NO,በዓተ ጾመ ነቢያት (በዓተ ጾመ ነቢያት); ልደተ ቅዱስ ቂርቆስ (ልደተ ቅዱስ ቂርቆስ); ብጽዕት ኢየሉጣ (ብጽዕት ኢየሉጣ),In Sinksar NO ቅዱስ ሚናስ ሰማዕት on 3/15 but App DB has 3/15 - which correct? REMOVE 3/15?
AM-MEL-014,መልክዐ ቅዱስ ራጉኤል በአማርኛ,ቅዱስ ራጉኤል,13,6,1,ANNUAL,NO,,In Sinksar NO ቅዱስ ራጉኤል on 13/6 but App DB has 13/6 - which correct? REMOVE 13/6?
