canonical_group,book_count,books,final_dates,sinksar_monthly_days,sinksar_annual_dates,tselot_rep_dates,unity_pass,missing_vs_verified,extra_vs_verified
እግዝእትነ ማርያም,28,AM-LAH-001;AM-MEL-008;AM-MEL-009;AM-MEL-064;AM-RAY-001;AM-TAM-002;GZ-ETA-001;GZ-LAH-001;GZ-MEL-002;GZ-MEL-031;GZ-MEL-032;GZ-MEL-161;GZ-TAM-001;TI-RAY-001;AM-ENZ-001;AM-ETA-001;AM-KOH-001;AM-MEL-026;AM-MTS-001;AM-TEA-001;AM-WUD-002;GZ-ENZ-001;GZ-KOH-001;GZ-MTS-003;GZ-TEA-001;GZ-WUD-002;TI-WUD-001;EN-WUD-001,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1 / Monthly Day 21",,,"[(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)]",,,
ቅዱስ ጊዮርጊስ,11,AM-GDL-018;AM-MEL-051;AM-MEL-065;AM-MEL-066;AM-MEL-067;AM-SIB-001;GZ-GDL-014;GZ-MEL-036;GZ-MEL-065;GZ-MEL-154;GZ-MEL-155,"ኅዳር 7, ጥር 18, የካቲት 23, ሚያዝያ 23, ነሐሴ 16 / Monthly Day 23",,,"[(1, 23), (2, 23), (3, 7), (3, 23), (4, 23), (5, 18), (5, 23), (6, 23), (7, 23), (8, 23), (9, 23), (10, 23), (11, 23), (12, 16), (12, 23)]",,,
ኢየሱስ ክርስቶስ,9,AM-MEL-002;AM-TAM-001;GZ-MEL-131;GZ-MEL-132;GZ-MZM-001;GZ-MZM-002;GZ-MZM-003;GZ-TAM-002;TI-TAM-001,"ታኅሣሥ 29, መጋቢት 29 / Monthly Day 29",,,"[(1, 29), (2, 29), (3, 29), (4, 29), (5, 29), (6, 29), (7, 29), (8, 29), (9, 29), (10, 29), (11, 29), (12, 29)]",,,
መድኃኔ ዓለም,8,AM-DRS-004;AM-MEL-034;AM-MEL-035;AM-MIK-001;GZ-DRS-005;GZ-MEL-001;GZ-MEL-027;GZ-MEL-028,"ኅዳር 27, መጋቢት 27 / Monthly Day 27",,,"[(1, 27), (2, 27), (3, 27), (4, 27), (5, 27), (6, 27), (7, 27), (8, 27), (9, 27), (10, 27), (11, 27), (12, 27)]",,,
ቅዱስ ሚካኤል,7,AM-DRS-009;AM-MEL-006;AM-MEL-041;GZ-DRS-008;GZ-MEL-004;GZ-MEL-005;GZ-MEL-165,"መስከረም 9, ኅዳር 12, ሰኔ 12 / Monthly Day 12",,,"[(1, 9), (1, 12), (2, 12), (3, 12), (4, 12), (5, 12), (6, 12), (7, 12), (8, 12), (9, 12), (10, 12), (11, 12), (12, 12)]",,,
ቅዱስ ዮሐንስ ወንጌላዊ,7,AM-GDL-013;AM-MEL-016;AM-MEL-047;GZ-MEL-061;GZ-MEL-062;GZ-MEL-149;GZ-MEL-150,"መስከረም 4, መስከረም 29, ጥር 4, ግንቦት 16, ሐምሌ 27 / Monthly Day 4",,,"[(1, 4), (1, 29), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (9, 16), (10, 4), (11, 4), (11, 27), (12, 4)]",,,
ቅድስት ሥላሴ,7,AM-MEL-010;AM-SEY-002;AM-ZNA-001;GZ-HIB-001;GZ-MEL-035;GZ-SEY-002;GZ-ZNA-004,"ሐምሌ 7 / Monthly Day 7 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ",,,[],,,
አቡነ ተክለ ሃይማኖት,6,AM-GDL-004;AM-MEL-057;AM-MEL-058;GZ-MEL-068;GZ-MEL-069;GZ-MEL-092,"ታኅሣሥ 24, ጥር 24, መጋቢት 24, ሚያዝያ 22, ግንቦት 12, ነሐሴ 24 / Monthly Day 24",,,"[(1, 24), (2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 22), (8, 24), (9, 12), (9, 24), (10, 24), (11, 24), (12, 24)]",,,
ቅዱስ ገብርኤል,5,AM-DRS-003;AM-MEL-050;GZ-DRS-010;GZ-MEL-013;GZ-MEL-014,"ታኅሣሥ 19, ታኅሣሥ 22, መጋቢት 30, ሰኔ 13, ሰኔ 26, ሐምሌ 19, ነሐሴ 7 / Monthly Day 19",,,"[(1, 19), (2, 19), (3, 19), (4, 19), (4, 22), (5, 19), (6, 19), (7, 19), (7, 30), (8, 19), (9, 19), (10, 13), (10, 19), (10, 26), (11, 19), (12, 7), (12, 19)]",,,
ቅዱስ እስጢፋኖስ,5,AM-GDL-009;AM-MEL-045;GZ-GDL-022;GZ-MEL-016;GZ-MEL-017,"መስከረም 15, ጥቅምት 17, ጥር 1 / Monthly Day 17",,,"[(1, 15), (1, 17), (2, 17), (3, 17), (4, 17), (5, 1), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17)]",,,
አቡነ ዘርዐ ቡሩክ,5,AM-GDL-012;AM-MEL-061;GZ-GDL-004;GZ-MEL-105;TI-GDL-001,"ታኅሣሥ 13, ጥር 13 / Monthly Day 13",,,"[(1, 13), (2, 13), (3, 13), (4, 13), (5, 13), (6, 13), (7, 13), (8, 13), (9, 13), (10, 13), (11, 13), (12, 13)]",,,
ሰባቱ ሊቃነ መላእክት,4,AM-DIR-001;AM-MEL-038;GZ-MEL-125;GZ-MEL-126,ኅዳር 13 / Monthly Day 13,,,"[(1, 13), (2, 13), (3, 13), (4, 13), (5, 13), (6, 13), (7, 13), (8, 13), (9, 13), (10, 13), (11, 13), (12, 13)]",,,
