book_id,title,saint_core,sinksar_correct_dates,tselot_current_dates,missing_dates_to_add,extra_dates_to_remove,status
AM-MEL-020,መልክዐ አቡነ ዕጨጌ ዮሐንስ በአማርኛ,ዮሐንስ,"[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(11, 29)]","[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(11, 29)]",MISMATCH
AM-MEL-047,የቅዱስ ዮሐንስ 2ኛ መልክዕ በአማርኛ,ዮሐንስ,"[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(1, 4), (1, 29), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (9, 16), (10, 4), (11, 4), (11, 27), (12, 4)]","[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(1, 4), (1, 29), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (9, 16), (10, 4), (11, 4), (11, 27), (12, 4)]",MISMATCH
GZ-MEL-061,መልክዐ ቅዱስ ዮሐንስ ካልእ በግእዝ,ዮሐንስ,"[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(1, 4), (1, 29), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (9, 16), (10, 4), (11, 4), (11, 27), (12, 4)]","[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(1, 4), (1, 29), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (9, 16), (10, 4), (11, 4), (11, 27), (12, 4)]",MISMATCH
GZ-MEL-104,መልክዐ አቡነ ዕጨጌ ዮሐንስ በግእዝ,ዮሐንስ,"[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(11, 29)]","[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(11, 29)]",MISMATCH
GZ-MEL-110,መልክዐ አቡነ ዮሐንስ ዘድብረ ዳጋ በግእዝ,ዮሐንስ,"[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(12, 8)]","[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(12, 8)]",MISMATCH
GZ-MEL-150,መልክዐ ዮሐንስ ፍቁረ እግዚእ በግእዝ,ዮሐንስ,"[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(1, 4), (1, 29), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (9, 16), (10, 4), (11, 4), (11, 27), (12, 4)]","[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(1, 4), (1, 29), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (9, 16), (10, 4), (11, 4), (11, 27), (12, 4)]",MISMATCH
AM-GDL-013,የቅዱስ ዮሐንስ ገድል በአማርኛ,ዮሐንስ,"[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(1, 4), (1, 29), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (9, 16), (10, 4), (11, 4), (11, 27), (12, 4)]","[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(1, 4), (1, 29), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (9, 16), (10, 4), (11, 4), (11, 27), (12, 4)]",MISMATCH
GZ-GDL-018,ገድለ አቡነ ዮሐንስ በግእዝ,ዮሐንስ,"[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(11, 29)]","[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(11, 29)]",MISMATCH
AM-GDL-027,ገድለ አቡነ እጨጌ ዮሐንስ ዘጸገሮ በአማርኛ,ዮሐንስ,"[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(11, 29)]","[(1, 14), (2, 14), (2, 18), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (7, 27), (8, 14), (8, 21), (9, 14), (10, 9), (10, 14), (11, 11), (11, 14), (12, 5), (12, 14), (13, 3)]","[(11, 29)]",MISMATCH
GZ-MEL-114,መልክዐ አቡነ ዳንኤል በግእዝ,ዳንኤል,"[(1, 16), (1, 23), (2, 16), (2, 23), (3, 23), (4, 23), (5, 16), (6, 16), (7, 16), (8, 16), (9, 16), (10, 16), (10, 23), (11, 16), (11, 23), (12, 16), (12, 23)]","[(3, 6)]","[(1, 16), (1, 23), (2, 16), (2, 23), (3, 23), (4, 23), (5, 16), (6, 16), (7, 16), (8, 16), (9, 16), (10, 16), (10, 23), (11, 16), (11, 23), (12, 16), (12, 23)]","[(3, 6)]",MISMATCH
