batch,#,section,group,canonical_group,book_id,title,language,final_dates,decision_source,status
Batch4,135,D,ሰባቱ ሊቃነ መላእክት,ሰባቱ ሊቃነ መላእክት,AM-DIR-001,የሰባቱ ሊቃነ መላእክት ድርሳን በአማርኛ,አማርኛ,ኅዳር 13 / Monthly Day 13,Sinksar 100% Match,verified
Batch4,136,D,ሰባቱ ሊቃነ መላእክት,ሰባቱ ሊቃነ መላእክት,AM-MEL-038,የቅዱሳን አእላፍ መላእክት 2ኛ መልክዕ በአማርኛ,አማርኛ,ኅዳር 13 / Monthly Day 13,Sinksar 100% Match,verified
Batch4,137,D,ሰባቱ ሊቃነ መላእክት,ሰባቱ ሊቃነ መላእክት,GZ-MEL-125,መልክዐ አእላፍ መላእክት በግእዝ,ግእዝ,ኅዳር 13 / Monthly Day 13,Sinksar 100% Match,verified
Batch4,138,D,ሰባቱ ሊቃነ መላእክት,ሰባቱ ሊቃነ መላእክት,GZ-MEL-126,መልክዐ አእላፍ መላእክት ካልእ በግእዝ,ግእዝ,ኅዳር 13 / Monthly Day 13,Sinksar 100% Match,verified
Batch4,139,D,ሰንበት,ሰንበት,AM-DRS-002,ድርሳነ ሰንበት በአማርኛ,አማርኛ,"Weekly: ቅዳሜ, እሁድ",Liturgical Weekly,verified
Batch4,140,D,ሰንበት,ሰንበት,GZ-MEL-044,መልክዐ ሰንበት በግዕዝ,ግእዝ,"Weekly: ቅዳሜ, እሁድ",Liturgical Weekly,verified
Batch4,141,D,ቅዱስ ገብርኤል,ቅዱስ ገብርኤል,AM-DRS-003,ድርሳነ ገብርኤል በአማርኛ,አማርኛ,"ታኅሣሥ 19, ታኅሣሥ 22, መጋቢት 30, ሰኔ 13, ሰኔ 26, ሐምሌ 19, ነሐሴ 7 / Monthly Day 19",Sinksar Canonical Cycle,verified
Batch4,142,D,ቅዱስ ገብርኤል,ቅዱስ ገብርኤል,AM-MEL-050,የቅዱስ ገብርኤል መልክዕ በአማርኛ,አማርኛ,"ታኅሣሥ 19, ታኅሣሥ 22, መጋቢት 30, ሰኔ 13, ሰኔ 26, ሐምሌ 19, ነሐሴ 7 / Monthly Day 19",Sinksar Canonical Cycle,verified
Batch4,143,D,ቅዱስ ገብርኤል,ቅዱስ ገብርኤል,GZ-DRS-010,ድርሳነ ገብርኤል በግእዝ,ግእዝ,"ታኅሣሥ 19, ታኅሣሥ 22, መጋቢት 30, ሰኔ 13, ሰኔ 26, ሐምሌ 19, ነሐሴ 7 / Monthly Day 19",Sinksar Canonical Cycle,verified
Batch4,144,D,ቅዱስ ገብርኤል,ቅዱስ ገብርኤል,GZ-MEL-013,መልክዐ ሊቀ መላእክት ቅዱስ ገብርኤል በግእዝ,ግእዝ,"ታኅሣሥ 19, ታኅሣሥ 22, መጋቢት 30, ሰኔ 13, ሰኔ 26, ሐምሌ 19, ነሐሴ 7 / Monthly Day 19",Sinksar Canonical Cycle,verified
