batch,#,section,group,canonical_group,book_id,title,language,final_dates,decision_source,status
Batch7,1,G,አቡነ ፊልጶስ ዘደብረ ሊባኖስ,አቡነ ፊልጶስ ዘደብረ ሊባኖስ,GZ-GDL-001,ገድለ አቡነ ፊልጶስ ዘደብረ ሊባኖስ በግእዝ,ግእዝ,"ሐምሌ 28, መጋቢት 23",User Hard Copy p547,verified
Batch7,2,G,ቅዱስ ቈጵርያኖስ ወቅድስት ኢዩስጣ,ቅዱስ ቈጵርያኖስ ወቅድስት ኢዩስጣ,GZ-GDL-012,ገድለ ቅዱስ ቈጵርያኖስ ወቅድስት ኢዩስጣ በግእዝ,ግእዝ,መስከረም 21,User Research Verified,verified
Batch7,3,G,አቡነ ፍሬ ሚካኤል,አቡነ ፍሬ ሚካኤል,GZ-GDL-034,ገድለ አቡነ ፍሬ ሚካኤል በግእዝ,ግእዝ,ኅዳር 3,User Research Verified,verified
Batch7,4,G,አባ ሊቃኖስ,አባ ሊቃኖስ,GZ-MEL-003,መልከዐ አቡነ ሊቃኖስ በግእዝ,ግእዝ,ኅዳር 28,Sinksar DB Annual Match,verified
Batch7,5,G,ቅዱስ ሚካኤል ሊቀ መላእክት,ቅዱስ ሚካኤል ሊቀ መላእክት,GZ-MEL-009,መልክዐ ሊቀ መላእክት ቅዱስ በግእዝ,ግእዝ,"ኅዳር 12, ጥር 12, ሰኔ 12, ሐምሌ 12 / Monthly Day 12",Sinksar DB + User Confirmed (ሚካኤል),verified
Batch7,6,G,ቅዱስ ፋኑኤል,ቅዱስ ፋኑኤል,GZ-MEL-015,መልክዐ ሊቀ መላእክት ቅዱስ ፋኑኤል በግእዝ,ግእዝ,ታኅሣሥ 3 / Monthly Day 3,Sinksar DB Annual + Monthly,verified
Batch7,7,G,ቅዱስ ላሊበላ,ቅዱስ ላሊበላ,GZ-MEL-019,መልክዐ ላሊበላ በግዕዝ,ግእዝ,"ታኅሣሥ 29, መጋቢት 29, ሰኔ 12 / Monthly Day 12",Sinksar DB (ልደቱ + ጽንሰቱ + ጻድቅ),verified
Batch7,8,G,ልደታ ለማርያም,ልደታ ለማርያም,GZ-MEL-020,መልክዐ ልደታ በግእዝ,ግእዝ,ግንቦት 1 / Monthly Day 1,Sinksar DB (ልደታ ለማርያም ወርሃዊ),verified
Batch7,9,G,ቅዱስ ፋሲለደስ,ቅዱስ ፋሲለደስ,GZ-MEL-041,መልክዐ ሰማዕት ቅዱስ ፋሲለደስ በግእዝ,ግእዝ,የካቲት 11 / Monthly Day 11,Sinksar DB,verified
Batch7,10,G,አማኑኤል,አማኑኤል,GZ-MEL-072,መልክዐ አማኑኤል በግእዝ,ግእዝ,ታኅሣሥ 28 / Monthly Day 28,Sinksar DB Annual + Monthly,verified
Batch7,11,G,አቡነ መዝገበ ሥላሴ,አቡነ መዝገበ ሥላሴ,GZ-MEL-077,መልክዐ አቡነ መዝገበ ሥላሴ በግእዝ,ግእዝ,ጥቅምት 9,Sinksar DB (ጻድቅ ኢትዮጵያዊ),verified
Batch7,12,G,አቡነ መድኃኒነ እግዚእ,አቡነ መድኃኒነ እግዚእ,GZ-MEL-078,መልክዐ አቡነ መድኃኒነ እግዚእ በግእዝ,ግእዝ,ኅዳር 3 / Monthly Day 3,Sinksar DB (ዘደብረ በንኮል),verified
Batch7,13,G,አቡነ ተክለ አልፋ,አቡነ ተክለ አልፋ ዘደብረ ድማሕ,GZ-MEL-093,መልክዐ አቡነ ተክለ አልፋ በግእዝ,ግእዝ,ታኅሣሥ 8,Sinksar DB Single Row,verified
Batch7,14,G,አቡነ አብሳዲ ዘደብረ ማርያም,አቡነ አብሳዲ ዘደብረ ማርያም,GZ-MEL-099,መልክዐ አቡነ አብሳዲ ዘደብረ ማርያም በግእዝ,ግእዝ,መስከረም 30,Sinksar DB Exact Match,verified
Batch7,15,G,አቡነ ዮሐንስ ከማ,አቡነ ዮሐንስ ከማ,GZ-MEL-109,መልክዐ አቡነ ዮሐንስ ከማ በግእዝ,ግእዝ,ታኅሣሥ 25,Sinksar DB Exact Match,verified
Batch7,16,G,እግዚአብሔር አብ,እግዚአብሔር አብ,GZ-MEL-139,መልክዐ እግዚአብሔር አብ በግእዝ,ግእዝ,Monthly Day 13,Sinksar DB Monthly Cycle,verified
Batch7,17,G,እግዚአብሔር አብ ካልዕ,እግዚአብሔር አብ,GZ-MEL-140,መልክዐ እግዚአብሔር አብ ካልዕ በግእዝ,ግእዝ,Monthly Day 13,Sinksar DB Monthly Cycle,verified
Batch7,18,G,ካህናተ ሰማይ,24ቱ ካህናተ ሰማይ (ሱራፌል),GZ-MEL-142,መልክዐ ካህናተ ሰማይ በግእዝ,ግእዝ,ኅዳር 24 / Monthly Day 24,Sinksar DB (ሱራፌል ካህናተ ሰማይ),verified
Batch7,19,G,ቅዱስ ያሬድ,ቅዱስ ያሬድ ማኅሌታይ,GZ-MEL-146,መልክዐ ያሬድ በግእዝ,ግእዝ,"ኅዳር 11, ግንቦት 11 / Monthly Day 11",Sinksar DB (ልደቱ + ወማኅሌታይ),verified
Batch7,20,G,ቅዱስ ያሬድ,ቅዱስ ያሬው ማኅሌታይ,GZ-MEL-147,መልክዐ ያሬድ ካልዕ በግእዝ,ግእዝ,"ኅዳር 11, ግንቦት 11 / Monthly Day 11",Sinksar DB (ልደቱ + ወማኅሌታይ),verified
Batch7,21,G,ቅዱስ ያሬድ,ቅዩስ ያሬድ ማኅሌታይ,GZ-GDL-021,ድርሳን ወገድል ዘቅዱስ ያሬድ በግእዝ,ግእዝ,"ኅዳር 11, ግንቦት 11 / Monthly Day 11",Sinksar DB (ልደቱ + ወማኅሌታይ),verified
Batch7,22,G,፬ቱ እንስሳ,፬ቱ እንስሳ (ኪሩቤል),GZ-MEL-164,መልክዐ ፬ቱ እንስሳ በግእዝ,ግእዝ,ኅዳር 8 / Monthly Day 8,Sinksar DB (ኪሩቤል),verified
Batch7,23,G,መጽሐፈ ልደታ ለማርያም,ዕፀ ልደታ ለማርያም,GZ-MTS-001,መጽሐፈ ልደታ ለማርያም በግእዝ,ግእዝ,ግንቦት 1 / Monthly Day 1,Sinksar DB (ልደታ ለማርያም ወርሃዊ),verified
Batch7,24,G,አቡነ ሰላማ ከሣቴ ብርሃን,አቡነ ሰላማ ከሣቴ ብርሃን (ፍሩሜንጢስ),GZ-MEL-038,መልክዐ ሰላማ በግእዝ,ግእዝ,"ታኅሣሥ 18, ሐምሌ 26",User Verified (Consecration ታኅሣሥ 18 + Departure ሐምሌ 26),verified
