#,book_id,language,title,title_short,category,main_category,sub_category,subject,monthly_days,annual_dates,weekly_days,dailyAlways,seasonal_table,seasonal_bcm,all_dates_summary,verified_status,notes,needs_manual_check
1,AM-BEE-001,AM,በእንተ ቅድሳት በአማርኛ,በእንተ ቅድሳት በአማርኛ,TSE,MC-09,SC-09-04,TSADQAN,,,,YES,,,DailyAlways,,Divine Liturgy Intercessions,NOT_IN_135 - verify
2,AM-DIR-001,AM,የሰባቱ ሊቃነ መላእክት ድርሳን በአማርኛ,የሰባቱ ሊቃነ መላእክት ድርሳን በአማርኛ,TSE,MC-04,SC-04-01,MALAKT,,3/13,,,,,Annual:3/13,,Hidar 13 Gathering of Archangels,NOT_IN_135 - verify
3,AM-DRS-001,AM,የቅዱስ ኢያቄምና- የቅድስት ሐና ድርሳን በአማርኛ,የቅዱስ ኢያቄምና- የቅድስት ሐና ድርሳን በአማርኛ,DRS,MC-04,SC-04-03,TSADQAN,,"1/7,12/7",,,,,"Annual:1/7,12/7",verified,የቅዱስ ኢያቄምና የቅድስት ሐና ድርሳን በአማርኛ - ነሐሴ 7 & መስከረም 7; የቅዱስ ኢያቄምና የቅድስት ሐና ድርሳን በአማርኛ - ነሐሴ 7 & መስከረም 7,VERIFIED_135 - A
4,AM-DRS-002,AM,ድርሳነ ሰንበት በአማርኛ,ድርሳነ ሰንበት በአማርኛ,DRS,MC-04,SC-04-02,TESATU,,,"6,7",,,,"Weekly:6,7",,Qadamit Senbet (Saturday); Senbete Kirstiyan (Sunday),NOT_IN_135 - verify
5,AM-DRS-003,AM,ድርሳነ ገብርኤል በአማርኛ,ድርሳነ ገብርኤል በአማርኛ,DRS,MC-04,SC-04-01,MALAKT,19,"11/19,4/19",,,,,"Monthly:19 | Annual:11/19,4/19",,Monthly Archangel Gabriel; Tahsas 19 Deliverance of Three Children; Hamle 19 Deliverance of Qirqos,NOT_IN_135 - verify
6,AM-DRS-004,AM,ድርሳነ መድኃኔ ዓለም በአማርኛ,ድርሳነ መድኃኔ ዓለም በአማርኛ,DRS,MC-04,SC-04-02,AMLAK,27,"3/27,7/27",,,,,"Monthly:27 | Annual:3/27,7/27",,Monthly Medhane Alem; Hidar 27; Megabit 27 Tsinte Siqlet,NOT_IN_135 - verify
7,AM-DRS-005,AM,ድርሳነ ኤልያስ ነቢይ በአማርኛ,ድርሳነ ኤልያስ ነቢይ በአማርኛ,DRS,MC-04,SC-04-03,NEBIYAT,,"4/1,5/6",,,,,"Annual:4/1,5/6",verified,ድርሳነ ኤልያስ ነቢይ በአማርኛ - ታኅሣሥ 1 & ጥር 6; ድርሳነ ኤልያስ ነቢይ በአማርኛ - ታኅሣሥ 1 & ጥር 6,VERIFIED_135 - B
8,AM-DRS-006,AM,ድርሳነ ዑራኤል በአማርኛ,ድርሳነ ዑራኤል በአማርኛ,DRS,MC-04,SC-04-01,MALAKT,22,"11/22,5/22",,,,,"Monthly:22 | Annual:11/22,5/22",,Monthly Archangel Uriel; Ter 22 Great Uriel Feast; Hamle 22 Uriel Feast,NOT_IN_135 - verify
9,AM-DRS-007,AM,ድርሳነ ማኅየዊ በአማርኛ,ድርሳነ ማኅየዊ በአማርኛ,DRS,MC-04,SC-04-02,AMLAK,,,,,,,LIBRARY_ONLY,verified,,VERIFIED_135 - A
10,AM-DRS-008,AM,ድርሳነ መስቀል በአማርኛ,ድርሳነ መስቀል በአማርኛ,DRS,MC-04,SC-04-02,AMLAK,,"1/17,7/10",,,,,"Annual:1/17,7/10",verified,ድርሳነ መስቀል በአማርኛ - መስከረም 17 & መጋቢት 10; ድርሳነ መስቀል በአማርኛ - መስከረም 17 & መጋቢት 10,VERIFIED_135 - A
11,AM-DRS-009,AM,ድርሳነ ሚካኤል በአማርኛ,ድርሳነ ሚካኤል በአማርኛ,DRS,MC-04,SC-04-01,MALAKT,12,"10/12,3/12",,,,,"Monthly:12 | Annual:10/12,3/12",,Monthly Archangel Michael; Hidar 12 Coronation of Michael; Sene 12 Deliverance of Afomiya,NOT_IN_135 - verify
12,AM-DRS-010,AM,ድርሳነ ቅዱስ ራጉኤል በአማርኛ,ድርሳነ ቅዱስ ራጉኤል በአማርኛ,DRS,MC-04,SC-04-01,MALAKT,1,"1/1,13/6",,,,,"Monthly:1 | Annual:1/1,13/6",,Monthly Archangel Raguel; Meskerem 1 Enkutatash Raguel; Pagumen 6,NOT_IN_135 - verify
13,AM-ENZ-001,AM,እንዚራ ስብሐት በአማርኛ,እንዚራ ስብሐት በአማርኛ,ENZ,MC-03,SC-03-04,AMLAK,21,,"1,2,3,4,5,6,7",YES,,,"Monthly:21 | Weekly:1,2,3,4,5,6,7 | DailyAlways",verified,Monthly Day 21 - Daily / Monthly Day 21; DailyAlways - Daily / Monthly Day 21; Daily - Daily / Monthly Day 21,VERIFIED_135 - A
