category,severity,book_id,title,date,description,suggestion
UNMAPPED_BOOK,WARNING,AM-KID-001,መዓዛ ቅዳሴ በአማርኛ,NONE,Book completely unmapped to calendar or season (Category=TSE),"Evaluate if this prayer should be mapped to ALWAYS, a specific season, or a saint feast"
UNMAPPED_BOOK,WARNING,AM-MEN-001,መንገደ ሰማይ በአማርኛ,NONE,Book completely unmapped to calendar or season (Category=TSE),"Evaluate if this prayer should be mapped to ALWAYS, a specific season, or a saint feast"
UNMAPPED_BOOK,WARNING,AM-SBT-001,የሰባት (፯) ቁጥር ምስጢራትና ምሉዕነት,NONE,Book completely unmapped to calendar or season (Category=TSE),"Evaluate if this prayer should be mapped to ALWAYS, a specific season, or a saint feast"
UNMAPPED_BOOK,WARNING,GZ-DRS-006,ድርሳን ዘብጹዕ ፊሳልጎስ በግእዝ,NONE,Book completely unmapped to calendar or season (Category=DRS),"Evaluate if this prayer should be mapped to ALWAYS, a specific season, or a saint feast"
UNMAPPED_BOOK,WARNING,GZ-MEL-067,መልክዐ ቍርባን በግዕዝ,NONE,Book completely unmapped to calendar or season (Category=MEL),"Evaluate if this prayer should be mapped to ALWAYS, a specific season, or a saint feast"
UNMAPPED_BOOK,WARNING,GZ-MTS-002,መጽሐፈ ሕይወት ዘትሰመይ ልፋፈ ጽድቅ በግእዝ,NONE,Book completely unmapped to calendar or season (Category=MTS),"Evaluate if this prayer should be mapped to ALWAYS, a specific season, or a saint feast"
UNMAPPED_BOOK,WARNING,GZ-TBB-001,ጥበበ ሰሎሞን በግእዝ,NONE,Book completely unmapped to calendar or season (Category=TBB),"Evaluate if this prayer should be mapped to ALWAYS, a specific season, or a saint feast"
UNMAPPED_BOOK,WARNING,GZ-TUL-001,መጽሐፈ ቱላዳን በግእዝ,NONE,Book completely unmapped to calendar or season (Category=MET),"Evaluate if this prayer should be mapped to ALWAYS, a specific season, or a saint feast"
UNMAPPED_BOOK,WARNING,GZ-ZNA-001,ዜናሁ ለንጉሠ ነገሥት በካፋ በግእዝ,NONE,Book completely unmapped to calendar or season (Category=ZNA),"Evaluate if this prayer should be mapped to ALWAYS, a specific season, or a saint feast"
UNMAPPED_BOOK,WARNING,GZ-ZNA-003,ዜና ሕይወቱ ለንጉሥ ላልይበላ በግእዝ,NONE,Book completely unmapped to calendar or season (Category=ZNA),"Evaluate if this prayer should be mapped to ALWAYS, a specific season, or a saint feast"
TRUNCATED_MONTHLY_CYCLE,ERROR,AM-GDL-005,ገድለ ቅድስት ክርስቶስ ሠምራ በአማርኛ,Day 12,"Matches monthly saint 'ክርስቶስ ሠምራ' but covers only 1/12 months. Missing months: [1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]",Expand mapping to all 12 months for day 12
TRUNCATED_MONTHLY_CYCLE,ERROR,GZ-GDL-019,ገድለ ቅድስት ክርስቶስ ሠምራ በግእዝ,Day 12,"Matches monthly saint 'ክርስቶስ ሠምራ' but covers only 1/12 months. Missing months: [1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]",Expand mapping to all 12 months for day 12
TRUNCATED_MONTHLY_CYCLE,ERROR,GZ-MEL-143,መልክዐ ክርስቶስ ሠምራ በግእዝ,Day 12,"Matches monthly saint 'ክርስቶስ ሠምራ' but covers only 1/12 months. Missing months: [1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]",Expand mapping to all 12 months for day 12
TRUNCATED_MONTHLY_CYCLE,ERROR,GZ-MEL-153,መልክዐ ገብረ ክርስቶስ በግእዝ,Day 14,"Matches monthly saint 'ገብረ ክርስቶስ መርዓዊ' but covers only 1/12 months. Missing months: [1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",Expand mapping to all 12 months for day 14
TRUNCATED_MONTHLY_CYCLE,ERROR,GZ-MEL-014,መልክዐ ሊቀ መላእክት ቅዱስ ገብርኤል ካልዕ (ደቅስዮስ) በግእዝ,Day 22,"Matches monthly saint 'ደቅስዮስ' but covers only 1/12 months. Missing months: [1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12]",Expand mapping to all 12 months for day 22
TRUNCATED_MONTHLY_CYCLE,ERROR,GZ-MEL-084,መልክዐ አቡነ ሳሙኤል በግእዝ ሣልስ በግእዝ,Day 23,"Matches monthly saint 'ሳሙኤል' but covers only 1/12 months. Missing months: [1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12]",Expand mapping to all 12 months for day 23
