book_id,ethiopian_month,ethiopian_day,is_annual,reading_cycle,kind
AM-BEE-001,,,0,ALWAYS,ALWAYS
AM-LIT-001,,,0,ALWAYS,ALWAYS
AM-MEL-028,,,0,ALWAYS,ALWAYS
AM-MET-001,,,0,ALWAYS,ALWAYS
AM-MET-002,,,0,ALWAYS,ALWAYS
AM-MZM-001,,,0,ALWAYS,ALWAYS
AM-SEY-001,,,0,ALWAYS,ALWAYS
AM-TEA-002,,,0,ALWAYS,ALWAYS
AM-TEA-003,,,0,ALWAYS,ALWAYS
AM-TSE-001,,,0,ALWAYS,ALWAYS
AM-TSE-002,,,0,ALWAYS,ALWAYS
AM-TSE-003,,,0,ALWAYS,ALWAYS
AM-TSE-004,,,0,ALWAYS,ALWAYS
AM-TSE-005,,,0,ALWAYS,ALWAYS
AM-WUD-001,,,0,ALWAYS,ALWAYS
EN-TSE-001,,,0,ALWAYS,ALWAYS
GZ-BEE-001,,,0,ALWAYS,ALWAYS
GZ-DRS-004,,,0,ALWAYS,ALWAYS
GZ-HAT-001,,,0,ALWAYS,ALWAYS
GZ-MEL-156,,,0,ALWAYS,ALWAYS
GZ-MET-001,,,0,ALWAYS,ALWAYS
GZ-MET-003,,,0,ALWAYS,ALWAYS
GZ-MZM-004,,,0,ALWAYS,ALWAYS
GZ-SEY-001,,,0,ALWAYS,ALWAYS
GZ-TAM-003,,,0,ALWAYS,ALWAYS
GZ-TEA-002,,,0,ALWAYS,ALWAYS
GZ-TEA-003,,,0,ALWAYS,ALWAYS
GZ-TSE-001,,,0,ALWAYS,ALWAYS
GZ-TSE-002,,,0,ALWAYS,ALWAYS
GZ-TSE-004,,,0,ALWAYS,ALWAYS
GZ-TSE-005,,,0,ALWAYS,ALWAYS
GZ-TSE-006,,,0,ALWAYS,ALWAYS
GZ-WUD-001,,,0,ALWAYS,ALWAYS
OR-MZM-001,,,0,ALWAYS,ALWAYS
OR-TSE-001,,,0,ALWAYS,ALWAYS
OR-TSE-002,,,0,ALWAYS,ALWAYS
OR-WUD-001,,,0,ALWAYS,ALWAYS
TI-BEE-001,,,0,ALWAYS,ALWAYS
TI-MZM-001,,,0,ALWAYS,ALWAYS
TI-MZM-002,,,0,ALWAYS,ALWAYS
TI-TSE-001,,,0,ALWAYS,ALWAYS
TI-TSE-002,,,0,ALWAYS,ALWAYS
TI-TSE-003,,,0,ALWAYS,ALWAYS
