batch,section,group,book_id,title,language,final_dates,annual_dates_must_be_1,monthly_days,db_dates_is_annual_1,db_dates_is_annual_0,overlap_annual_plus_monthly_must_be_1,count_1,count_0,rows_expected,rows_in_db,flag_status,problem
Batch1,B,አባ በግዑ,GZ-GDL-025,ገድለ አባ በግዑ በግእዝ,ግእዝ,ታኅሣሥ 27,ታኅሣሥ 27,,ታኅሣሥ 27,,,1,0,1,1,PASS,
Batch1,B,አባ በግዑ,AM-GDL-006,የአባ በግዑ ገድል በአማርኛ,አማርኛ,ታኅሣሥ 27,ታኅሣሥ 27,,ታኅሣሥ 27,,,1,0,1,1,PASS,
Batch1,B,ቅዱስ ፊቅጦር,GZ-GDL-027,ገድለ ቅዱስ ፊቅጦር በግእዝ,ግእዝ,"ታኅሣሥ 5, የካቲት 13, ሚያዝያ 27 / Monthly Day 27","ታኅሣሥ 5, የካቲት 13, ሚያዝያ 27",27,"ታኅሣሥ 5, የካቲት 13, ሚያዝያ 27","መስከረም 27, ጥቅምት 27, ኅዳር 27, ታኅሣሥ 27, ጥር 27, የካቲት 27, መጋቢት 27, ግንቦት 27, ሰኔ 27, ሐምሌ 27, ነሐሴ 27",ሚያዝያ 27,3,11,14,14,PASS,
Batch1,B,ቅዱስ ፊቅጦር,AM-GDL-029,ገድለ ቅዱስ ፊቅጦር በአማርኛ,አማርኛ,"ታኅሣሥ 5, የካቲት 13, ሚያዝያ 27 / Monthly Day 27","ታኅሣሥ 5, የካቲት 13, ሚያዝያ 27",27,"ታኅሣሥ 5, የካቲት 13, ሚያዝያ 27","መስከረም 27, ጥቅምት 27, ኅዳር 27, ታኅሣሥ 27, ጥር 27, የካቲት 27, መጋቢት 27, ግንቦት 27, ሰኔ 27, ሐምሌ 27, ነሐሴ 27",ሚያዝያ 27,3,11,14,14,PASS,
Batch1,B,ቅዱስ ፊቅጦር,GZ-MEL-162,መልክዐ ፊቅጦር በግእዝ,ግእዝ,"ታኅሣሥ 5, የካቲት 13, ሚያዝያ 27 / Monthly Day 27","ታኅሣሥ 5, የካቲት 13, ሚያዝያ 27",27,"ታኅሣሥ 5, የካቲት 13, ሚያዝያ 27","መስከረም 27, ጥቅምት 27, ኅዳር 27, ታኅሣሥ 27, ጥር 27, የካቲት 27, መጋቢት 27, ግንቦት 27, ሰኔ 27, ሐምሌ 27, ነሐሴ 27",ሚያዝያ 27,3,11,14,14,PASS,
Batch1,B,አቡነ አቢብ,AM-GDL-024,ገድለ ቅዱስ አቡነ አቢብ በአማርኛ,አማርኛ,"ጥቅምት 25, ሚያዝያ 15 / Monthly Day 25","ጥቅምት 25, ሚያዝያ 15",25,"ጥቅምት 25, ሚያዝያ 15","መስከረም 25, ኅዳር 25, ታኅሣሥ 25, ጥር 25, የካቲት 25, መጋቢት 25, ሚያዝያ 25, ግንቦት 25, ሰኔ 25, ሐምሌ 25, ነሐሴ 25",ጥቅምት 25,2,11,13,13,PASS,
Batch1,B,አቡነ አቢብ,AM-MEL-003,መልክዐ ለአቡነ አቢብ ጻድቅ በአማርኛ,አማርኛ,"ጥቅምት 25, ሚያዝያ 15 / Monthly Day 25","ጥቅምት 25, ሚያዝያ 15",25,"ጥቅምት 25, ሚያዝያ 15","መስከረም 25, ኅዳር 25, ታኅሣሥ 25, ጥር 25, የካቲት 25, መጋቢት 25, ሚያዝያ 25, ግንቦት 25, ሰኔ 25, ሐምሌ 25, ነሐሴ 25",ጥቅምት 25,2,11,13,13,PASS,
Batch1,B,አቡነ አቢብ,GZ-MEL-095,መልክዐ አቡነ አቢብ በግእዝ,ግእዝ,"ጥቅምት 25, ሚያዝያ 15 / Monthly Day 25","ጥቅምት 25, ሚያዝያ 15",25,"ጥቅምት 25, ሚያዝያ 15","መስከረም 25, ኅዳር 25, ታኅሣሥ 25, ጥር 25, የካቲት 25, መጋቢት 25, ሚያዝያ 25, ግንቦት 25, ሰኔ 25, ሐምሌ 25, ነሐሴ 25",ጥቅምት 25,2,11,13,13,PASS,
Batch1,B,አቡነ አቢብ,GZ-MEL-144,መልክዐ ዐቢብ ካልዕ በግእዝ,ግእዝ,"ጥቅምት 25, ሚያዝያ 15 / Monthly Day 25","ጥቅምት 25, ሚያዝያ 15",25,"ጥቅምት 25, ሚያዝያ 15","መስከረም 25, ኅዳር 25, ታኅሣሥ 25, ጥር 25, የካቲት 25, መጋቢት 25, ሚያዝያ 25, ግንቦት 25, ሰኔ 25, ሐምሌ 25, ነሐሴ 25",ጥቅምት 25,2,11,13,13,PASS,
Batch1,B,አቡነ አቢብ,AM-MEL-059,የአቡነ አቢብ መልክዕ በአማርኛ,አማርኛ,"ጥቅምት 25, ሚያዝያ 15 / Monthly Day 25","ጥቅምት 25, ሚያዝያ 15",25,"ጥቅምት 25, ሚያዝያ 15","መስከረም 25, ኅዳር 25, ታኅሣሥ 25, ጥር 25, የካቲት 25, መጋቢት 25, ሚያዝያ 25, ግንቦት 25, ሰኔ 25, ሐምሌ 25, ነሐሴ 25",ጥቅምት 25,2,11,13,13,PASS,
