batch,section,group,book_id,title,language,ethiopian_month,ethiopian_day,date_name,expected_is_annual,db_is_annual,kind,flag_match
Batch1,B,አባ በግዑ,GZ-GDL-025,ገድለ አባ በግዑ በግእዝ,ግእዝ,4,27,ታኅሣሥ 27,1,1,ANNUAL,YES
Batch1,B,አባ በግዑ,AM-GDL-006,የአባ በግዑ ገድል በአማርኛ,አማርኛ,4,27,ታኅሣሥ 27,1,1,ANNUAL,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-GDL-027,ገድለ ቅዱስ ፊቅጦር በግእዝ,ግእዝ,1,27,መስከረም 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-GDL-027,ገድለ ቅዱስ ፊቅጦር በግእዝ,ግእዝ,2,27,ጥቅምት 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-GDL-027,ገድለ ቅዱስ ፊቅጦር በግእዝ,ግእዝ,3,27,ኅዳር 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-GDL-027,ገድለ ቅዱስ ፊቅጦር በግእዝ,ግእዝ,4,5,ታኅሣሥ 5,1,1,ANNUAL,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-GDL-027,ገድለ ቅዱስ ፊቅጦር በግእዝ,ግእዝ,4,27,ታኅሣሥ 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-GDL-027,ገድለ ቅዱስ ፊቅጦር በግእዝ,ግእዝ,5,27,ጥር 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-GDL-027,ገድለ ቅዱስ ፊቅጦር በግእዝ,ግእዝ,6,13,የካቲት 13,1,1,ANNUAL,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-GDL-027,ገድለ ቅዱስ ፊቅጦር በግእዝ,ግእዝ,6,27,የካቲት 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-GDL-027,ገድለ ቅዱስ ፊቅጦር በግእዝ,ግእዝ,7,27,መጋቢት 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-GDL-027,ገድለ ቅዱስ ፊቅጦር በግእዝ,ግእዝ,8,27,ሚያዝያ 27,1,1,ANNUAL+MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-GDL-027,ገድለ ቅዱስ ፊቅጦር በግእዝ,ግእዝ,9,27,ግንቦት 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-GDL-027,ገድለ ቅዱስ ፊቅጦር በግእዝ,ግእዝ,10,27,ሰኔ 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-GDL-027,ገድለ ቅዱስ ፊቅጦር በግእዝ,ግእዝ,11,27,ሐምሌ 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,GZ-GDL-027,ገድለ ቅዱስ ፊቅጦር በግእዝ,ግእዝ,12,27,ነሐሴ 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,AM-GDL-029,ገድለ ቅዱስ ፊቅጦር በአማርኛ,አማርኛ,1,27,መስከረም 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,AM-GDL-029,ገድለ ቅዱስ ፊቅጦር በአማርኛ,አማርኛ,2,27,ጥቅምት 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,AM-GDL-029,ገድለ ቅዱስ ፊቅጦር በአማርኛ,አማርኛ,3,27,ኅዳር 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,AM-GDL-029,ገድለ ቅዱስ ፊቅጦር በአማርኛ,አማርኛ,4,5,ታኅሣሥ 5,1,1,ANNUAL,YES
Batch1,B,ቅዱስ ፊቅጦር,AM-GDL-029,ገድለ ቅዱስ ፊቅጦር በአማርኛ,አማርኛ,4,27,ታኅሣሥ 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,AM-GDL-029,ገድለ ቅዱስ ፊቅጦር በአማርኛ,አማርኛ,5,27,ጥር 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,AM-GDL-029,ገድለ ቅዱስ ፊቅጦር በአማርኛ,አማርኛ,6,13,የካቲት 13,1,1,ANNUAL,YES
Batch1,B,ቅዱስ ፊቅጦር,AM-GDL-029,ገድለ ቅዱስ ፊቅጦር በአማርኛ,አማርኛ,6,27,የካቲት 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,AM-GDL-029,ገድለ ቅዱስ ፊቅጦር በአማርኛ,አማርኛ,7,27,መጋቢት 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,AM-GDL-029,ገድለ ቅዱስ ፊቅጦር በአማርኛ,አማርኛ,8,27,ሚያዝያ 27,1,1,ANNUAL+MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,AM-GDL-029,ገድለ ቅዱስ ፊቅጦር በአማርኛ,አማርኛ,9,27,ግንቦት 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,AM-GDL-029,ገድለ ቅዱስ ፊቅጦር በአማርኛ,አማርኛ,10,27,ሰኔ 27,0,0,MONTHLY,YES
Batch1,B,ቅዱስ ፊቅጦር,AM-GDL-029,ገድለ ቅዱስ ፊቅጦር በአማርኛ,አማርኛ,11,27,ሐምሌ 27,0,0,MONTHLY,YES
