book_id,ethiopian_month,ethiopian_day,is_annual,kind
GZ-GDL-009,8,26,1,ANNUAL
GZ-GDL-018,11,29,1,ANNUAL
GZ-GDL-026,1,28,1,ANNUAL
GZ-MEL-034,5,7,1,ANNUAL
GZ-MEL-056,1,28,1,ANNUAL
GZ-MEL-076,4,16,1,ANNUAL
GZ-MEL-079,1,4,1,ANNUAL
GZ-MEL-080,5,14,1,ANNUAL
GZ-MEL-081,3,13,1,ANNUAL
GZ-MEL-094,3,3,1,ANNUAL
GZ-MEL-102,7,29,1,ANNUAL
GZ-MEL-103,6,1,1,ANNUAL
GZ-MEL-110,12,8,1,ANNUAL
GZ-MEL-120,12,5,1,ANNUAL
GZ-MEL-138,5,22,1,ANNUAL
GZ-MEL-138,7,6,1,ANNUAL
GZ-MEL-138,11,22,1,ANNUAL
GZ-MEL-148,2,19,1,ANNUAL
GZ-MEL-153,2,14,1,ANNUAL
GZ-SME-001,10,25,1,ANNUAL
GZ-ZNA-002,7,27,1,ANNUAL
