book_id,ethiopian_month,ethiopian_day,is_annual,kind
GZ-GDL-005,11,3,1,ANNUAL
GZ-MEL-033,3,9,1,ANNUAL
GZ-MEL-048,2,19,1,ANNUAL
GZ-MEL-070,12,13,1,ANNUAL
GZ-MEL-083,2,19,1,ANNUAL
GZ-MEL-090,,,0,PENTECOST
GZ-MEL-100,9,19,1,ANNUAL
GZ-MEL-107,1,13,0,MONTHLY
GZ-MEL-107,2,13,0,MONTHLY
GZ-MEL-107,3,13,0,MONTHLY
GZ-MEL-107,4,13,0,MONTHLY
GZ-MEL-107,5,13,0,MONTHLY
GZ-MEL-107,6,13,0,MONTHLY
GZ-MEL-107,7,13,0,MONTHLY
GZ-MEL-107,8,13,0,MONTHLY
GZ-MEL-107,9,13,0,MONTHLY
GZ-MEL-107,10,13,0,MONTHLY
GZ-MEL-107,11,13,0,MONTHLY
GZ-MEL-107,12,13,0,MONTHLY
GZ-MEL-108,2,28,1,ANNUAL
GZ-MEL-113,3,17,1,ANNUAL
GZ-MEL-113,7,17,1,ANNUAL
GZ-MEL-115,2,6,1,ANNUAL
