book_id,ethiopian_month,ethiopian_day,is_annual,kind
AM-DIR-001,1,13,0,MONTHLY
AM-DIR-001,2,13,0,MONTHLY
AM-DIR-001,3,13,1,ANNUAL+MONTHLY
AM-DIR-001,4,13,0,MONTHLY
AM-DIR-001,5,13,0,MONTHLY
AM-DIR-001,6,13,0,MONTHLY
AM-DIR-001,7,13,0,MONTHLY
AM-DIR-001,8,13,0,MONTHLY
AM-DIR-001,9,13,0,MONTHLY
AM-DIR-001,10,13,0,MONTHLY
AM-DIR-001,11,13,0,MONTHLY
AM-DIR-001,12,13,0,MONTHLY
AM-MEL-038,1,13,0,MONTHLY
AM-MEL-038,2,13,0,MONTHLY
AM-MEL-038,3,13,1,ANNUAL+MONTHLY
AM-MEL-038,4,13,0,MONTHLY
AM-MEL-038,5,13,0,MONTHLY
AM-MEL-038,6,13,0,MONTHLY
AM-MEL-038,7,13,0,MONTHLY
AM-MEL-038,8,13,0,MONTHLY
AM-MEL-038,9,13,0,MONTHLY
AM-MEL-038,10,13,0,MONTHLY
AM-MEL-038,11,13,0,MONTHLY
AM-MEL-038,12,13,0,MONTHLY
GZ-MEL-125,1,13,0,MONTHLY
GZ-MEL-125,2,13,0,MONTHLY
GZ-MEL-125,3,13,1,ANNUAL+MONTHLY
GZ-MEL-125,4,13,0,MONTHLY
GZ-MEL-125,5,13,0,MONTHLY
GZ-MEL-125,6,13,0,MONTHLY
GZ-MEL-125,7,13,0,MONTHLY
GZ-MEL-125,8,13,0,MONTHLY
GZ-MEL-125,9,13,0,MONTHLY
GZ-MEL-125,10,13,0,MONTHLY
GZ-MEL-125,11,13,0,MONTHLY
GZ-MEL-125,12,13,0,MONTHLY
GZ-MEL-126,1,13,0,MONTHLY
GZ-MEL-126,2,13,0,MONTHLY
GZ-MEL-126,3,13,1,ANNUAL+MONTHLY
GZ-MEL-126,4,13,0,MONTHLY
GZ-MEL-126,5,13,0,MONTHLY
GZ-MEL-126,6,13,0,MONTHLY
GZ-MEL-126,7,13,0,MONTHLY
GZ-MEL-126,8,13,0,MONTHLY
GZ-MEL-126,9,13,0,MONTHLY
GZ-MEL-126,10,13,0,MONTHLY
GZ-MEL-126,11,13,0,MONTHLY
GZ-MEL-126,12,13,0,MONTHLY
AM-DRS-003,1,19,0,MONTHLY
AM-DRS-003,2,19,0,MONTHLY
AM-DRS-003,3,19,0,MONTHLY
AM-DRS-003,4,19,1,ANNUAL+MONTHLY
AM-DRS-003,4,22,1,ANNUAL
AM-DRS-003,5,19,0,MONTHLY
AM-DRS-003,6,19,0,MONTHLY
AM-DRS-003,7,19,0,MONTHLY
AM-DRS-003,7,30,1,ANNUAL
AM-DRS-003,8,19,0,MONTHLY
AM-DRS-003,9,19,0,MONTHLY
AM-DRS-003,10,13,1,ANNUAL
AM-DRS-003,10,19,0,MONTHLY
AM-DRS-003,10,26,1,ANNUAL
AM-DRS-003,11,19,1,ANNUAL+MONTHLY
AM-DRS-003,12,7,1,ANNUAL
AM-DRS-003,12,19,0,MONTHLY
AM-MEL-050,1,19,0,MONTHLY
AM-MEL-050,2,19,0,MONTHLY
AM-MEL-050,3,19,0,MONTHLY
AM-MEL-050,4,19,1,ANNUAL+MONTHLY
AM-MEL-050,4,22,1,ANNUAL
AM-MEL-050,5,19,0,MONTHLY
AM-MEL-050,6,19,0,MONTHLY
AM-MEL-050,7,19,0,MONTHLY
AM-MEL-050,7,30,1,ANNUAL
AM-MEL-050,8,19,0,MONTHLY
AM-MEL-050,9,19,0,MONTHLY
AM-MEL-050,10,13,1,ANNUAL
AM-MEL-050,10,19,0,MONTHLY
AM-MEL-050,10,26,1,ANNUAL
AM-MEL-050,11,19,1,ANNUAL+MONTHLY
AM-MEL-050,12,7,1,ANNUAL
AM-MEL-050,12,19,0,MONTHLY
GZ-DRS-010,1,19,0,MONTHLY
GZ-DRS-010,2,19,0,MONTHLY
GZ-DRS-010,3,19,0,MONTHLY
GZ-DRS-010,4,19,1,ANNUAL+MONTHLY
GZ-DRS-010,4,22,1,ANNUAL
GZ-DRS-010,5,19,0,MONTHLY
GZ-DRS-010,6,19,0,MONTHLY
GZ-DRS-010,7,19,0,MONTHLY
GZ-DRS-010,7,30,1,ANNUAL
GZ-DRS-010,8,19,0,MONTHLY
GZ-DRS-010,9,19,0,MONTHLY
GZ-DRS-010,10,13,1,ANNUAL
GZ-DRS-010,10,19,0,MONTHLY
GZ-DRS-010,10,26,1,ANNUAL
GZ-DRS-010,11,19,1,ANNUAL+MONTHLY
GZ-DRS-010,12,7,1,ANNUAL
GZ-DRS-010,12,19,0,MONTHLY
GZ-MEL-013,1,19,0,MONTHLY
GZ-MEL-013,2,19,0,MONTHLY
GZ-MEL-013,3,19,0,MONTHLY
GZ-MEL-013,4,19,1,ANNUAL+MONTHLY
GZ-MEL-013,4,22,1,ANNUAL
GZ-MEL-013,5,19,0,MONTHLY
GZ-MEL-013,6,19,0,MONTHLY
GZ-MEL-013,7,19,0,MONTHLY
GZ-MEL-013,7,30,1,ANNUAL
GZ-MEL-013,8,19,0,MONTHLY
GZ-MEL-013,9,19,0,MONTHLY
GZ-MEL-013,10,13,1,ANNUAL
GZ-MEL-013,10,19,0,MONTHLY
GZ-MEL-013,10,26,1,ANNUAL
GZ-MEL-013,11,19,1,ANNUAL+MONTHLY
GZ-MEL-013,12,7,1,ANNUAL
GZ-MEL-013,12,19,0,MONTHLY
GZ-MEL-014,1,19,0,MONTHLY
GZ-MEL-014,2,19,0,MONTHLY
GZ-MEL-014,3,19,0,MONTHLY
GZ-MEL-014,4,19,1,ANNUAL+MONTHLY
GZ-MEL-014,4,22,1,ANNUAL
GZ-MEL-014,5,19,0,MONTHLY
GZ-MEL-014,6,19,0,MONTHLY
GZ-MEL-014,7,19,0,MONTHLY
GZ-MEL-014,7,30,1,ANNUAL
GZ-MEL-014,8,19,0,MONTHLY
GZ-MEL-014,9,19,0,MONTHLY
GZ-MEL-014,10,13,1,ANNUAL
GZ-MEL-014,10,19,0,MONTHLY
GZ-MEL-014,10,26,1,ANNUAL
GZ-MEL-014,11,19,1,ANNUAL+MONTHLY
GZ-MEL-014,12,7,1,ANNUAL
GZ-MEL-014,12,19,0,MONTHLY
AM-DRS-004,1,27,0,MONTHLY
AM-DRS-004,2,27,0,MONTHLY
AM-DRS-004,3,27,1,ANNUAL+MONTHLY
AM-DRS-004,4,27,0,MONTHLY
AM-DRS-004,5,27,0,MONTHLY
AM-DRS-004,6,27,0,MONTHLY
AM-DRS-004,7,27,1,ANNUAL+MONTHLY
AM-DRS-004,8,27,0,MONTHLY
AM-DRS-004,9,27,0,MONTHLY
AM-DRS-004,10,27,0,MONTHLY
AM-DRS-004,11,27,0,MONTHLY
AM-DRS-004,12,27,0,MONTHLY
AM-MEL-034,1,27,0,MONTHLY
AM-MEL-034,2,27,0,MONTHLY
AM-MEL-034,3,27,1,ANNUAL+MONTHLY
AM-MEL-034,4,27,0,MONTHLY
AM-MEL-034,5,27,0,MONTHLY
AM-MEL-034,6,27,0,MONTHLY
AM-MEL-034,7,27,1,ANNUAL+MONTHLY
AM-MEL-034,8,27,0,MONTHLY
AM-MEL-034,9,27,0,MONTHLY
AM-MEL-034,10,27,0,MONTHLY
AM-MEL-034,11,27,0,MONTHLY
AM-MEL-034,12,27,0,MONTHLY
AM-MEL-035,1,27,0,MONTHLY
AM-MEL-035,2,27,0,MONTHLY
AM-MEL-035,3,27,1,ANNUAL+MONTHLY
AM-MEL-035,4,27,0,MONTHLY
AM-MEL-035,5,27,0,MONTHLY
AM-MEL-035,6,27,0,MONTHLY
AM-MEL-035,7,27,1,ANNUAL+MONTHLY
AM-MEL-035,8,27,0,MONTHLY
AM-MEL-035,9,27,0,MONTHLY
AM-MEL-035,10,27,0,MONTHLY
AM-MEL-035,11,27,0,MONTHLY
AM-MEL-035,12,27,0,MONTHLY
AM-MIK-001,1,27,0,MONTHLY
AM-MIK-001,2,27,0,MONTHLY
AM-MIK-001,3,27,1,ANNUAL+MONTHLY
AM-MIK-001,4,27,0,MONTHLY
AM-MIK-001,5,27,0,MONTHLY
AM-MIK-001,6,27,0,MONTHLY
AM-MIK-001,7,27,1,ANNUAL+MONTHLY
AM-MIK-001,8,27,0,MONTHLY
AM-MIK-001,9,27,0,MONTHLY
AM-MIK-001,10,27,0,MONTHLY
AM-MIK-001,11,27,0,MONTHLY
AM-MIK-001,12,27,0,MONTHLY
GZ-DRS-005,1,27,0,MONTHLY
GZ-DRS-005,2,27,0,MONTHLY
GZ-DRS-005,3,27,1,ANNUAL+MONTHLY
GZ-DRS-005,4,27,0,MONTHLY
GZ-DRS-005,5,27,0,MONTHLY
GZ-DRS-005,6,27,0,MONTHLY
GZ-DRS-005,7,27,1,ANNUAL+MONTHLY
GZ-DRS-005,8,27,0,MONTHLY
GZ-DRS-005,9,27,0,MONTHLY
