INSERT BATCHES 4-6 DATE MAPPINGS REPORT
Generated: 2026-09-21T18:31:51
Write target: WORKING COPY only
Skipped: Weekly, Daily, Movable, empty, funeral/memorial
Original DB (read-only): C:\Android Project Collection\analyze\New folder\mezgebe_tselot_v4.db
Working copy DB: C:\Android Project Collection\analyze\New folder\for analysis\mezgebe_tselot_v4_CLEARED.db

CSV rows read: 226
Verified CSV book_id count: 226
Date/monthly books to insert: 188
Skipped books: 38
TOTAL EXPANDED ROWS: 2424

SKIPPED
  AM-DRS-002 | WEEKLY_OR_DAILY | Weekly: ቅዳሜ, እሁድ
  GZ-MEL-044 | WEEKLY_OR_DAILY | Weekly: ቅዳሜ, እሁድ
  AM-DRS-007 | WEEKLY_OR_DAILY | Weekly: ረቡዕ, አርብ
  AM-MEL-007 | WEEKLY_OR_DAILY | Weekly: ረቡዕ, አርብ
  GZ-MEL-029 | WEEKLY_OR_DAILY | Weekly: ረቡዕ, አርብ
  AM-ENZ-001 | WEEKLY_OR_DAILY | Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ
  AM-ETA-001 | WEEKLY_OR_DAILY | Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ
  AM-KOH-001 | WEEKLY_OR_DAILY | Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ
  AM-MEL-026 | WEEKLY_OR_DAILY | Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ
  AM-MTS-001 | WEEKLY_OR_DAILY | Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ
  AM-TEA-001 | WEEKLY_OR_DAILY | Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ
  AM-WUD-002 | WEEKLY_OR_DAILY | Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ
  GZ-ENZ-001 | WEEKLY_OR_DAILY | Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ
  GZ-KOH-001 | WEEKLY_OR_DAILY | Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ
  GZ-MTS-003 | WEEKLY_OR_DAILY | Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ
  GZ-TEA-001 | WEEKLY_OR_DAILY | Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ
  GZ-WUD-002 | WEEKLY_OR_DAILY | Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ
  TI-WUD-001 | WEEKLY_OR_DAILY | Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ
  AM-MEL-001 | WEEKLY_OR_DAILY | ታኅሣሥ 21 / Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ
  AM-MEL-004 | WEEKLY_OR_DAILY | Weekly: ረቡዕ, አርብ
  GZ-MEL-024 | WEEKLY_OR_DAILY | Weekly: ረቡዕ, አርብ
  AM-MEL-010 | WEEKLY_OR_DAILY | ሐምሌ 7 / Monthly Day 7 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ
  AM-SEY-002 | WEEKLY_OR_DAILY | Monthly Day 7 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ
  AM-ZNA-001 | WEEKLY_OR_DAILY | Monthly Day 7 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ
  GZ-MEL-035 | WEEKLY_OR_DAILY | ሐምሌ 7 / Monthly Day 7 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ
  GZ-SEY-002 | WEEKLY_OR_DAILY | Monthly Day 7 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ
  GZ-ZNA-004 | WEEKLY_OR_DAILY | Monthly Day 7 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ
  AM-KID-001 | EMPTY | 
  AM-MEL-011 | WEEKLY_OR_DAILY | መስከረም 17, መጋቢት 10 / Monthly Day 10 / Weekly: ረቡዕ, አርብ
  GZ-MEL-046 | WEEKLY_OR_DAILY | መስከረም 17, መጋቢት 10 / Monthly Day 10 / Weekly: ረቡዕ, አርብ
  AM-MEL-029 | MOVABLE | Movable: ጰንጠቆስጤ / Monthly Day 7
  GZ-MEL-157 | MOVABLE | Movable: ጰንጠቆስጤ / Monthly Day 7
  AM-MEN-001 | FUNERAL_MEMORIAL | ጸሎተ ፍትሐት (Funeral & Memorial Services)
  AM-TSE-006 | WEEKLY_OR_DAILY | ሚያዝያ 26 / Monthly Day 26 / Daily: ሁልጊዜ
  GZ-TSE-003 | WEEKLY_OR_DAILY | ሚያዝያ 26 / Monthly Day 26 / Daily: ሁልጊዜ
  AM-WUD-003 | WEEKLY_OR_DAILY | Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ
  TI-WUD-002 | WEEKLY_OR_DAILY | Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ
  EN-WUD-001 | WEEKLY_OR_DAILY | Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ

PARSE / EXPANSION BY book_id
  AM-DIR-001 | annual=3/13 | monthly=13 | rows=12
  AM-MEL-038 | annual=3/13 | monthly=13 | rows=12
  GZ-MEL-125 | annual=3/13 | monthly=13 | rows=12
  GZ-MEL-126 | annual=3/13 | monthly=13 | rows=12
  AM-DRS-003 | annual=4/19,4/22,7/30,10/13,10/26,11/19,12/7 | monthly=19 | rows=17
  AM-MEL-050 | annual=4/19,4/22,7/30,10/13,10/26,11/19,12/7 | monthly=19 | rows=17
  GZ-DRS-010 | annual=4/19,4/22,7/30,10/13,10/26,11/19,12/7 | monthly=19 | rows=17
  GZ-MEL-013 | annual=4/19,4/22,7/30,10/13,10/26,11/19,12/7 | monthly=19 | rows=17
  GZ-MEL-014 | annual=4/19,4/22,7/30,10/13,10/26,11/19,12/7 | monthly=19 | rows=17
  AM-DRS-004 | annual=3/27,7/27 | monthly=27 | rows=12
  AM-MEL-034 | annual=3/27,7/27 | monthly=27 | rows=12
  AM-MEL-035 | annual=3/27,7/27 | monthly=27 | rows=12
  AM-MIK-001 | annual=3/27,7/27 | monthly=27 | rows=12
  GZ-DRS-005 | annual=3/27,7/27 | monthly=27 | rows=12
  GZ-MEL-001 | annual=3/27,7/27 | monthly=27 | rows=12
  GZ-MEL-027 | annual=3/27,7/27 | monthly=27 | rows=12
  GZ-MEL-028 | annual=3/27,7/27 | monthly=27 | rows=12
  AM-DRS-006 | annual=5/22,11/21,11/22 | monthly=22 | rows=13
  GZ-DRS-001 | annual=5/22,11/21,11/22 | monthly=22 | rows=13
  GZ-MEL-011 | annual=5/22,11/21,11/22 | monthly=22 | rows=13
  GZ-MEL-012 | annual=5/22,11/21,11/22 | monthly=22 | rows=13
  AM-DRS-009 | annual=1/9,3/12,10/12 | monthly=12 | rows=13
  AM-MEL-006 | annual=1/9,3/12,10/12 | monthly=12 | rows=13
  AM-MEL-041 | annual=1/9,3/12,10/12 | monthly=12 | rows=13
  GZ-DRS-008 | annual=1/9,3/12,10/12 | monthly=12 | rows=13
  GZ-MEL-004 | annual=1/9,3/12,10/12 | monthly=12 | rows=13
  GZ-MEL-005 | annual=1/9,3/12,10/12 | monthly=12 | rows=13
  GZ-MEL-165 | annual=1/9,3/12,10/12 | monthly=12 | rows=13
  AM-DRS-010 | annual=1/1,13/6 | monthly=1 | rows=14
  AM-MEL-014 | annual=1/1,13/6 | monthly=1 | rows=14
  GZ-DRS-003 | annual=1/1,13/6 | monthly=1 | rows=14
  GZ-MEL-007 | annual=1/1,13/6 | monthly=1 | rows=14
  AM-GDL-001 | annual=11/7 | monthly=7 | rows=12
  GZ-GDL-007 | annual=11/7 | monthly=7 | rows=12
  GZ-MEL-123 | annual=11/7 | monthly=7 | rows=12
  AM-GDL-002 | annual=2/1,6/6 | monthly=- | rows=2
  AM-GDL-003 | annual=7/29,12/6 | monthly=- | rows=2
  AM-GDL-004 | annual=4/24,5/24,7/24,8/22,9/12,12/24 | monthly=24 | rows=14
  AM-MEL-057 | annual=4/24,5/24,7/24,8/22,9/12,12/24 | monthly=24 | rows=14
  AM-MEL-058 | annual=4/24,5/24,7/24,8/22,9/12,12/24 | monthly=24 | rows=14
  GZ-MEL-068 | annual=4/24,5/24,7/24,8/22,9/12,12/24 | monthly=24 | rows=14
  GZ-MEL-069 | annual=4/24,5/24,7/24,8/22,9/12,12/24 | monthly=24 | rows=14
  GZ-MEL-092 | annual=4/24,5/24,7/24,8/22,9/12,12/24 | monthly=24 | rows=14
  AM-GDL-005 | annual=1/24,9/12,12/24 | monthly=24 | rows=13
  GZ-GDL-019 | annual=1/24,9/12,12/24 | monthly=24 | rows=13
  GZ-MEL-143 | annual=1/24,9/12,12/24 | monthly=24 | rows=13
  AM-GDL-007 | annual=2/5,4/29,7/5,7/29 | monthly=5 | rows=15
  GZ-MEL-151 | annual=2/5,4/29,7/5,7/29 | monthly=5 | rows=15
  GZ-MEL-152 | annual=2/5,4/29,7/5,7/29 | monthly=5 | rows=15
  AM-GDL-008 | annual=1/29,4/6,10/17 | monthly=6 | rows=15
  GZ-GDL-033 | annual=1/29,4/6,10/17 | monthly=6 | rows=15
  GZ-MEL-042 | annual=1/29,4/6,10/17 | monthly=6 | rows=15
  AM-LAH-001 | annual=12/16,3/21,5/21,9/1 | monthly=21 | rows=14
  AM-MEL-008 | annual=12/16,3/21,5/21,9/1 | monthly=21 | rows=14
  AM-MEL-009 | annual=12/16,3/21,5/21,9/1 | monthly=21 | rows=14
  AM-MEL-064 | annual=12/16,3/21,5/21,9/1 | monthly=21 | rows=14
  AM-RAY-001 | annual=12/16,3/21,5/21,9/1 | monthly=21 | rows=14
  AM-TAM-002 | annual=12/16,3/21,5/21,9/1 | monthly=21 | rows=14
  GZ-ETA-001 | annual=12/16,3/21,5/21,9/1 | monthly=21 | rows=14
  GZ-LAH-001 | annual=12/16,3/21,5/21,9/1 | monthly=21 | rows=14
  GZ-MEL-002 | annual=12/16,3/21,5/21,9/1 | monthly=21 | rows=14
  GZ-MEL-031 | annual=12/16,3/21,5/21,9/1 | monthly=21 | rows=14
  GZ-MEL-032 | annual=12/16,3/21,5/21,9/1 | monthly=21 | rows=14
  GZ-MEL-161 | annual=12/16,3/21,5/21,9/1 | monthly=21 | rows=14
  GZ-TAM-001 | annual=12/16,3/21,5/21,9/1 | monthly=21 | rows=14
  TI-RAY-001 | annual=12/16,3/21,5/21,9/1 | monthly=21 | rows=14
  AM-MEL-002 | annual=4/29,7/29 | monthly=29 | rows=12
  AM-TAM-001 | annual=4/29,7/29 | monthly=29 | rows=12
  GZ-MEL-131 | annual=4/29,7/29 | monthly=29 | rows=12
  GZ-MEL-132 | annual=4/29,7/29 | monthly=29 | rows=12
  GZ-MZM-001 | annual=4/29,7/29 | monthly=29 | rows=12
  GZ-MZM-002 | annual=4/29,7/29 | monthly=29 | rows=12
  GZ-MZM-003 | annual=4/29,7/29 | monthly=29 | rows=12
  GZ-TAM-002 | annual=4/29,7/29 | monthly=29 | rows=12
  TI-TAM-001 | annual=4/29,7/29 | monthly=29 | rows=12
  AM-GDL-018 | annual=3/7,5/18,6/23,8/23,12/16 | monthly=23 | rows=15
  AM-MEL-051 | annual=3/7,5/18,6/23,8/23,12/16 | monthly=23 | rows=15
  AM-MEL-065 | annual=3/7,5/18,6/23,8/23,12/16 | monthly=23 | rows=15
  AM-MEL-066 | annual=3/7,5/18,6/23,8/23,12/16 | monthly=23 | rows=15
  AM-MEL-067 | annual=3/7,5/18,6/23,8/23,12/16 | monthly=23 | rows=15
  AM-SIB-001 | annual=3/7,5/18,6/23,8/23,12/16 | monthly=23 | rows=15
  GZ-GDL-014 | annual=3/7,5/18,6/23,8/23,12/16 | monthly=23 | rows=15
  GZ-MEL-036 | annual=3/7,5/18,6/23,8/23,12/16 | monthly=23 | rows=15
  GZ-MEL-065 | annual=3/7,5/18,6/23,8/23,12/16 | monthly=23 | rows=15
  GZ-MEL-154 | annual=3/7,5/18,6/23,8/23,12/16 | monthly=23 | rows=15
