book_id,ቋንቋ,መጽሐፍ_ስም,ዓመታዊ_በዓላት,ወርሃዊ_ቀን,ሳምንታዊ_ቀናት,የዘወትር
AM-BEE-001,AM,በእንተ ቅድሳት በአማርኛ,,,,ሁልጊዜ
AM-LIT-001,AM,የሰባቱ ዕለታት የነግህ ሊጦን በአማርኛ,,,,ሁልጊዜ
AM-MEL-028,AM,መልክዐ ጠቢበ ጠቢባን በአማርኛ,,,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
AM-MET-001,AM,መጽሐፈ ባርቶስ በአማርኛ,,,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
AM-MET-002,AM,መጽሐፈ አርጋኖን በአማርኛ,,,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
AM-MZM-001,AM,መዝሙረ ዳዊት በአማርኛ,,,,ሁልጊዜ
AM-SEY-001,AM,ሰይፈ መለኮት በአማርኛ,,,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
AM-TEA-002,AM,ተአምኆ ዘሥሉስ ቅዱስ በአማርኛ,,,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
AM-TEA-003,AM,ተአምኆ ዘሥሉስ ቅዱስ መልክዕ በአማርኛ,,,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
AM-TSE-001,AM,የመስቀል አጥር ጸሎት በአማርኛ,,,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
AM-TSE-002,AM,የሠርክ ጸሎት በአማርኛ,,,,ሁልጊዜ
AM-TSE-003,AM,የነቢያት ጸሎት በአማርኛ,,,,ሁልጊዜ
AM-TSE-004,AM,የኪዳን ጸሎት በአማርኛ,,,,ሁልጊዜ
AM-TSE-005,AM,የዘወትር ጸሎት በአማርኛ,,,,ሁልጊዜ
AM-WUD-001,AM,ውዳሴ መስቀል በአማርኛ,,,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
EN-TSE-001,EN,Daily prayers,,,,ሁልጊዜ
GZ-BEE-001,GZ,በእንተ ቅድሳት በግእዝ,,,,ሁልጊዜ
GZ-DRS-004,GZ,ድርሳነ ማኅየዊ በግእዝ,,,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
GZ-HAT-001,GZ,ሐፁረ መስቀል በግእዝ,,,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
GZ-MEL-156,GZ,መልክዐ ጠቢበ ጠቢባን በግእዝ,,,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
GZ-MET-001,GZ,መጽሐፈ ባርቶስ በግእዝ,,,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
GZ-MET-003,GZ,መጽሐፈ አርጋኖን በግእዝ,,,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
GZ-MZM-004,GZ,መዝሙረ ዳዊት በግእዝ,,,,ሁልጊዜ
GZ-SEY-001,GZ,ሰይፈ መለኮት በግእዝ,,,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
GZ-TAM-003,GZ,ተአምራቲሆሙ ለሥላሴ,,,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
GZ-TEA-002,GZ,ተአምኆ ዘሥሉስ ቅዱስ በግእዝ,,,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
GZ-TEA-003,GZ,ተአምኆ ዘሥሉስ ቅዱስ በግእዝ ካልእ,,,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
GZ-TSE-001,GZ,ጸሎተ ሊጦን በግእዝ,,,,ሁልጊዜ
GZ-TSE-002,GZ,ጸሎተ ነቢያት በግእዝ,,,,ሁልጊዜ
GZ-TSE-004,GZ,ጸሎተ ኪዳን በግእዝ,,,,ሁልጊዜ
GZ-TSE-005,GZ,ጸሎተ ዘሠርክ በግእዝ,,,,ሁልጊዜ
GZ-TSE-006,GZ,ጸሎት ዘዘወትር በግእዝ,,,,ሁልጊዜ
GZ-WUD-001,GZ,ውዳሴ መስቀል በግእዝ,,,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
OR-MZM-001,OR,MACAAFA FAARFANNAA,,,,ሁልጊዜ
OR-TSE-001,OR,Kadhannaa Raajootaa,,,,ሁልጊዜ
OR-TSE-002,OR,Kadhannaa Yeroo Hundaa,,,,ሁልጊዜ
OR-WUD-001,OR,Galata Maariyaam,,,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
TI-BEE-001,TI,በእንተ ቅድሳት ብትግርኛ,,,,ሁልጊዜ
TI-MZM-001,TI,መዝሙረ ዳዊት ብትግርኛ,,,,ሁልጊዜ
TI-MZM-002,TI,መዝሙር መኃልይ ነቢያት ብትግርኛ,,,,ሁልጊዜ
TI-TSE-001,TI,መዓልታዊ ሾብዓተ ሰዓታት ጸሎት ብትግርኛ,,,,ሁልጊዜ
