batch,#,section,group,canonical_group,book_id,title,language,final_dates,decision_source,status
Batch1,63,B,አባ በግዑ,አባ በግዑ,GZ-GDL-025,ገድለ አባ በግዑ በግእዝ,ግእዝ,ታኅሣሥ 27,Sinksar 100% Match,verified
Batch1,64,B,አባ በግዑ,አባ በግዑ,AM-GDL-006,የአባ በግዑ ገድል በአማርኛ,አማርኛ,ታኅሣሥ 27,Sinksar 100% Match,verified
Batch1,65,B,ቅዱስ ፊቅጦር,ቅዱስ ፊቅጦር,GZ-GDL-027,ገድለ ቅዱስ ፊቅጦር በግእዝ,ግእዝ,"ታኅሣሥ 5, የካቲት 13, ሚያዝያ 27 / Monthly Day 27",Sinksar Canonical Cycle,verified
Batch1,66,B,ቅዱስ ፊቅጦር,ቅዱስ ፊቅጦር,AM-GDL-029,ገድለ ቅዱስ ፊቅጦር በአማርኛ,አማርኛ,"ታኅሣሥ 5, የካቲት 13, ሚያዝያ 27 / Monthly Day 27",Sinksar Canonical Cycle,verified
Batch1,67,B,ቅዱስ ፊቅጦር,ቅዱስ ፊቅጦር,GZ-MEL-162,መልክዐ ፊቅጦር በግእዝ,ግእዝ,"ታኅሣሥ 5, የካቲት 13, ሚያዝያ 27 / Monthly Day 27",Sinksar Canonical Cycle,verified
Batch1,68,B,አቡነ አቢብ,አቡነ አቢብ,AM-GDL-024,ገድለ ቅዱስ አቡነ አቢብ በአማርኛ,አማርኛ,"ጥቅምት 25, ሚያዝያ 15 / Monthly Day 25",Sinksar 100% Match,verified
Batch1,69,B,አቡነ አቢብ,አቡነ አቢብ,AM-MEL-003,መልክዐ ለአቡነ አቢብ ጻድቅ በአማርኛ,አማርኛ,"ጥቅምት 25, ሚያዝያ 15 / Monthly Day 25",Sinksar 100% Match,verified
Batch1,70,B,አቡነ አቢብ,አቡነ አቢብ,GZ-MEL-095,መልክዐ አቡነ አቢብ በግእዝ,ግእዝ,"ጥቅምት 25, ሚያዝያ 15 / Monthly Day 25",Sinksar 100% Match,verified
Batch1,71,B,አቡነ አቢብ,አቡነ አቢብ,GZ-MEL-144,መልክዐ ዐቢብ ካልዕ በግእዝ,ግእዝ,"ጥቅምት 25, ሚያዝያ 15 / Monthly Day 25",Sinksar 100% Match,verified
Batch1,72,B,አቡነ አቢብ,አቡነ አቢብ,AM-MEL-059,የአቡነ አቢብ መልክዕ በአማርኛ,አማርኛ,"ጥቅምት 25, ሚያዝያ 15 / Monthly Day 25",Sinksar 100% Match,verified
Batch1,73,B,ኤልያስ ነቢይ,ኤልያስ ነቢይ,AM-DRS-005,ድርሳነ ኤልያስ ነቢይ በአማርኛ,አማርኛ,"ታኅሣሥ 1, ጥር 6, ነሐሴ 13 / Monthly Day 6",Sinksar Canonical Cycle,verified
Batch1,74,B,ኤልያስ ነቢይ,ኤልያስ ነቢይ,GZ-MEL-134,መልክዐ ኤልያስ በግእዝ,ግእዝ,"ታኅሣሥ 1, ጥር 6, ነሐሴ 13 / Monthly Day 6",Sinksar Canonical Cycle,verified
Batch1,75,B,ኤልያስ ነቢይ,ኤልያስ ነቢይ,GZ-MEL-059,መልክዐ ቅዱስ ኤልያስ ነቢይ ሣልስ በግእዝ,ግእዝ,"ታኅሣሥ 1, ጥር 6, ነሐሴ 13 / Monthly Day 6",Sinksar Canonical Cycle,verified
Batch1,76,B,ኤልያስ ነቢይ,ኤልያስ ነቢይ,AM-MEL-052,የነቢዩ የቅዱስ ኤልያስ 3ኛ መልክዕ በአማርኛ,አማርኛ,"ታኅሣሥ 1, ጥር 6, ነሐሴ 13 / Monthly Day 6",Sinksar Canonical Cycle,verified
Batch1,77,B,ዮሐንስ መጥምቅ,ዮሐንስ መጥምቅ,GZ-MEL-060,መልክዐ ቅዱስ ዮሐንስ መጥምቅ በግእዝ,ግእዝ,"መስከረም 1, መስከረም 2, መስከረም 26, ጥር 11, የካቲት 30, ሚያዝያ 15, ሰኔ 2, ሰኔ 30, ጳጉሜን 1 / Monthly Day 2, 30",Sinksar Canonical Cycle,verified
Batch1,78,B,ዮሐንስ መጥምቅ,ዮሐንስ መጥምቅ,AM-MEL-048,የቅዱስ ዮሐንስ መጥምቅ መልክዕ በአማርኛ,አማርኛ,"መስከረም 1, መስከረም 2, መስከረም 26, ጥር 11, የካቲት 30, ሚያዝያ 15, ሰኔ 2, ሰኔ 30, ጳጉሜን 1 / Monthly Day 2, 30",Sinksar Canonical Cycle,verified
Batch1,79,B,አቡነ ሊባኖስ,አቡነ ሊባኖስ,GZ-MEL-018,መልክዐ ሊባኖስ በግእዝ,ግእዝ,ጥር 3 / Monthly Day 3,Sinksar (Excluding Monasteries),verified
Batch1,80,B,አቡነ ሊባኖስ,አቡነ ሊባኖስ,GZ-MEL-074,መልክዐ አቡነ ሊባኖስ ካልእ በግእዝ,ግእዝ,ጥር 3 / Monthly Day 3,Sinksar (Excluding Monasteries),verified
Batch1,81,B,አቡነ ሊባኖስ,አቡነ ሊባኖስ,AM-MEL-053,የአቡነ ሊባኖስ 2ኛ መልክዕ በአማርኛ,አማርኛ,ጥር 3 / Monthly Day 3,Sinksar (Excluding Monasteries),verified
