book_id,ቋንቋ,መጽሐፍ_ስም,ዓመታዊ_በዓላት,ወርሃዊ_ቀን,ሳምንታዊ_ቀናት,የዘወትር
AM-DIR-001,AM,የሰባቱ ሊቃነ መላእክት ድርሳን በአማርኛ,ኅዳር 13,,,
AM-DRS-002,AM,ድርሳነ ሰንበት በአማርኛ,,,"ቅዳሜ, እሁድ",
AM-DRS-003,AM,ድርሳነ ገብርኤል በአማርኛ,"ሐምሌ 19, ታኅሣሥ 19",19,,
AM-DRS-004,AM,ድርሳነ መድኃኔ ዓለም በአማርኛ,"ኅዳር 27, መጋቢት 27",27,,
AM-DRS-006,AM,ድርሳነ ዑራኤል በአማርኛ,"ሐምሌ 22, ጥር 22",22,,
AM-DRS-007,AM,ድርሳነ ማኅየዊ በአማርኛ,,,,
AM-DRS-009,AM,ድርሳነ ሚካኤል በአማርኛ,"ሰኔ 12, ኅዳር 12",12,,
AM-DRS-010,AM,ድርሳነ ቅዱስ ራጉኤል በአማርኛ,"መስከረም 1, ጳጉሜ 6",1,,
AM-ENZ-001,AM,እንዚራ ስብሐት በአማርኛ,,21,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
AM-ETA-001,AM,በሰማይ ወበምድር በአማርኛ,,21,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
AM-GDL-001,AM,ገድለ ቅዱስ አባ ጊዮርጊስ ዘጋሥጫ በአማርኛ,ሐምሌ 7,23,,
AM-GDL-002,AM,ገድለ ማርያም እንተ ዕፍረት በአማርኛ,,,,
AM-GDL-003,AM,ገድለ ማርያም መግደላዊት በአማርኛ,,,,
AM-GDL-004,AM,ገድለ ተክለ ሃይማኖት በአማርኛ,"ነሐሴ 24, ታኅሣሥ 24, ግንቦት 12",24,,
AM-GDL-005,AM,ገድለ ቅድስት ክርስቶስ ሠምራ በአማርኛ,"ነሐሴ 24, ግንቦት 12",24,,
AM-GDL-007,AM,ገድለ አቡነ ገብረ መንፈስ ቅዱስ በአማርኛ,"ጥቅምት 5, መጋቢት 5",5,,
AM-GDL-008,AM,ገድለ ሰማዕት ቅድስት አርሴማ በአማርኛ,"መስከረም 15, ጥቅምት 29",6,,
AM-GDL-009,AM,ገድለ ቅዱስ እስጢፋኖስ አማርኛ,"ጥቅምት 17, ጥር 1",17,,
AM-GDL-010,AM,ገድለ ሰማዕታት በአማርኛ,የካቲት 12,,,
