batch,#,section,group,canonical_group,book_id,title,language,final_dates,decision_source,status
Batch5,192,E,ማርያም,እግዝእትነ ማርያም,AM-LAH-001,ላሐ ማርያም በአማርኛ,አማርኛ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1 / Monthly Day 21",Sinksar Canonical Cycle,verified
Batch5,193,E,ማርያም,እግዝእትነ ማርያም,AM-MEL-008,መልክዐ ማርያም ሣልሲት በአማርኛ,አማርኛ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1 / Monthly Day 21",Sinksar Canonical Cycle,verified
Batch5,194,E,ማርያም,እግዝእትነ ማርያም,AM-MEL-009,መልክዐ ማርያም በአማርኛ,አማርኛ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1 / Monthly Day 21",Sinksar Canonical Cycle,verified
Batch5,195,E,ማርያም,እግዝእትነ ማርያም,AM-MEL-064,የጽዮን ማርያም 3ኛ መልክዕ በአማርኛ,አማርኛ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1 / Monthly Day 21",Sinksar Canonical Cycle,verified
Batch5,196,E,ማርያም,እግዝእትነ ማርያም,AM-RAY-001,ራዕየ ማርያም በአማርኛ,አማርኛ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1 / Monthly Day 21",Sinksar Canonical Cycle,verified
Batch5,197,E,ማርያም,እግዝእትነ ማርያም,AM-TAM-002,ተአምረ ማርያም በአማርኛ,አማርኛ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1 / Monthly Day 21",Sinksar Canonical Cycle,verified
Batch5,198,E,ማርያም,እግዝእትነ ማርያም,GZ-ETA-001,እትአመነኪ ማርያም በሰማይ ወበምድር በግእዝ,ግእዝ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1 / Monthly Day 21",Sinksar Canonical Cycle,verified
Batch5,199,E,ማርያም,እግዝእትነ ማርያም,GZ-LAH-001,ላሐ ማርያም በግእዝ,ግእዝ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1 / Monthly Day 21",Sinksar Canonical Cycle,verified
Batch5,200,E,ማርያም,እግዝእትነ ማርያም,GZ-MEL-002,መልከዐ ማርያም ዳግሚት በግእዝ,ግእዝ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1 / Monthly Day 21",Sinksar Canonical Cycle,verified
Batch5,201,E,ማርያም,እግዝእትነ ማርያም,GZ-MEL-031,መልክዐ ማርያም ሣልሲት በግእዝ,ግእዝ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1 / Monthly Day 21",Sinksar Canonical Cycle,verified
Batch5,202,E,ማርያም,እግዝእትነ ማርያም,GZ-MEL-032,መልክዐ ማርያም በግእዝ,ግእዝ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1 / Monthly Day 21",Sinksar Canonical Cycle,verified
Batch5,203,E,ማርያም,እግዝእትነ ማርያም,GZ-MEL-161,መልክዐ ጽዮን ማርያም ሣልስ በግእዝ,ግእዝ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1 / Monthly Day 21",Sinksar Canonical Cycle,verified
Batch5,204,E,ማርያም,እግዝእትነ ማርያም,GZ-TAM-001,ተአምረ ማርያም በግእዝ,ግእዝ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1 / Monthly Day 21",Sinksar Canonical Cycle,verified
Batch5,205,E,ማርያም,እግዝእትነ ማርያም,TI-RAY-001,ራእየ ማርያም ብትግርኛ,ትግርኛ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1 / Monthly Day 21",Sinksar Canonical Cycle,verified
Batch5,206,E,ማርያም,እግዝእትነ ማርያም,AM-ENZ-001,እንዚራ ስብሐት በአማርኛ,አማርኛ,"Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ",Sinksar Monthly + Daily Cycle,verified
Batch5,207,E,ማርያም,እግዝእትነ ማርያም,AM-ETA-001,በሰማይ ወበምድር በአማርኛ,አማርኛ,"Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ",Sinksar Monthly + Daily Cycle,verified
Batch5,208,E,ማርያም,እግዝእትነ ማርያም,AM-KOH-001,ኆኅተ ብርሃን በአማርኛ,አማርኛ,"Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ",Sinksar Monthly + Daily Cycle,verified
Batch5,209,E,ማርያም,እግዝእትነ ማርያም,AM-MEL-026,መልክዐ ኤዶም በአማርኛ,አማርኛ,"Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ",Sinksar Monthly + Daily Cycle,verified
