batch,section,group,book_id,title,language,final_dates,db_dates,db_annual,db_monthly_days,rows_expected,rows_in_db,match,status,problem
Batch1,B,አባ በግዑ,GZ-GDL-025,ገድለ አባ በግዑ በግእዝ,ግእዝ,ታኅሣሥ 27,ታኅሣሥ 27,ታኅሣሥ 27,,1,1,YES,PASS,
Batch1,B,አባ በግዑ,AM-GDL-006,የአባ በግዑ ገድል በአማርኛ,አማርኛ,ታኅሣሥ 27,ታኅሣሥ 27,ታኅሣሥ 27,,1,1,YES,PASS,
Batch1,B,ቅዱስ ፊቅጦር,GZ-GDL-027,ገድለ ቅዱስ ፊቅጦር በግእዝ,ግእዝ,"ታኅሣሥ 5, የካቲት 13, ሚያዝያ 27 / Monthly Day 27","ታኅሣሥ 5, የካቲት 13, ሚያዝያ 27 / Monthly Day 27","ታኅሣሥ 5, የካቲት 13, ሚያዝያ 27",27,14,14,YES,PASS,
Batch1,B,ቅዱስ ፊቅጦር,AM-GDL-029,ገድለ ቅዱስ ፊቅጦር በአማርኛ,አማርኛ,"ታኅሣሥ 5, የካቲት 13, ሚያዝያ 27 / Monthly Day 27","ታኅሣሥ 5, የካቲት 13, ሚያዝያ 27 / Monthly Day 27","ታኅሣሥ 5, የካቲት 13, ሚያዝያ 27",27,14,14,YES,PASS,
Batch1,B,ቅዱስ ፊቅጦር,GZ-MEL-162,መልክዐ ፊቅጦር በግእዝ,ግእዝ,"ታኅሣሥ 5, የካቲት 13, ሚያዝያ 27 / Monthly Day 27","ታኅሣሥ 5, የካቲት 13, ሚያዝያ 27 / Monthly Day 27","ታኅሣሥ 5, የካቲት 13, ሚያዝያ 27",27,14,14,YES,PASS,
Batch1,B,አቡነ አቢብ,AM-GDL-024,ገድለ ቅዱስ አቡነ አቢብ በአማርኛ,አማርኛ,"ጥቅምት 25, ሚያዝያ 15 / Monthly Day 25","ጥቅምት 25, ሚያዝያ 15 / Monthly Day 25","ጥቅምት 25, ሚያዝያ 15",25,13,13,YES,PASS,
Batch1,B,አቡነ አቢብ,AM-MEL-003,መልክዐ ለአቡነ አቢብ ጻድቅ በአማርኛ,አማርኛ,"ጥቅምት 25, ሚያዝያ 15 / Monthly Day 25","ጥቅምት 25, ሚያዝያ 15 / Monthly Day 25","ጥቅምት 25, ሚያዝያ 15",25,13,13,YES,PASS,
Batch1,B,አቡነ አቢብ,GZ-MEL-095,መልክዐ አቡነ አቢብ በግእዝ,ግእዝ,"ጥቅምት 25, ሚያዝያ 15 / Monthly Day 25","ጥቅምት 25, ሚያዝያ 15 / Monthly Day 25","ጥቅምት 25, ሚያዝያ 15",25,13,13,YES,PASS,
Batch1,B,አቡነ አቢብ,GZ-MEL-144,መልክዐ ዐቢብ ካልዕ በግእዝ,ግእዝ,"ጥቅምት 25, ሚያዝያ 15 / Monthly Day 25","ጥቅምት 25, ሚያዝያ 15 / Monthly Day 25","ጥቅምት 25, ሚያዝያ 15",25,13,13,YES,PASS,
Batch1,B,አቡነ አቢብ,AM-MEL-059,የአቡነ አቢብ መልክዕ በአማርኛ,አማርኛ,"ጥቅምት 25, ሚያዝያ 15 / Monthly Day 25","ጥቅምት 25, ሚያዝያ 15 / Monthly Day 25","ጥቅምት 25, ሚያዝያ 15",25,13,13,YES,PASS,
