book_id,ethiopian_month,ethiopian_day,is_annual,kind
GZ-GDL-001,7,23,1,ANNUAL
GZ-GDL-001,11,28,1,ANNUAL
GZ-GDL-012,1,21,1,ANNUAL
GZ-GDL-021,1,11,0,MONTHLY
GZ-GDL-021,2,11,0,MONTHLY
GZ-GDL-021,3,11,1,ANNUAL+MONTHLY
GZ-GDL-021,4,11,0,MONTHLY
GZ-GDL-021,5,11,0,MONTHLY
GZ-GDL-021,6,11,0,MONTHLY
GZ-GDL-021,7,11,0,MONTHLY
GZ-GDL-021,8,11,0,MONTHLY
GZ-GDL-021,9,11,1,ANNUAL+MONTHLY
GZ-GDL-021,10,11,0,MONTHLY
GZ-GDL-021,11,11,0,MONTHLY
GZ-GDL-021,12,11,0,MONTHLY
GZ-GDL-034,3,3,1,ANNUAL
GZ-MEL-003,3,28,1,ANNUAL
GZ-MEL-009,1,12,0,MONTHLY
GZ-MEL-009,2,12,0,MONTHLY
GZ-MEL-009,3,12,1,ANNUAL+MONTHLY
GZ-MEL-009,4,12,0,MONTHLY
GZ-MEL-009,5,12,1,ANNUAL+MONTHLY
GZ-MEL-009,6,12,0,MONTHLY
GZ-MEL-009,7,12,0,MONTHLY
GZ-MEL-009,8,12,0,MONTHLY
GZ-MEL-009,9,12,0,MONTHLY
GZ-MEL-009,10,12,1,ANNUAL+MONTHLY
GZ-MEL-009,11,12,1,ANNUAL+MONTHLY
GZ-MEL-009,12,12,0,MONTHLY
GZ-MEL-015,1,3,0,MONTHLY
GZ-MEL-015,2,3,0,MONTHLY
GZ-MEL-015,3,3,0,MONTHLY
GZ-MEL-015,4,3,1,ANNUAL+MONTHLY
GZ-MEL-015,5,3,0,MONTHLY
GZ-MEL-015,6,3,0,MONTHLY
GZ-MEL-015,7,3,0,MONTHLY
GZ-MEL-015,8,3,0,MONTHLY
GZ-MEL-015,9,3,0,MONTHLY
GZ-MEL-015,10,3,0,MONTHLY
GZ-MEL-015,11,3,0,MONTHLY
GZ-MEL-015,12,3,0,MONTHLY
GZ-MEL-015,13,3,0,MONTHLY
GZ-MEL-019,1,12,0,MONTHLY
GZ-MEL-019,2,12,0,MONTHLY
GZ-MEL-019,3,12,0,MONTHLY
GZ-MEL-019,4,12,0,MONTHLY
GZ-MEL-019,4,29,1,ANNUAL
GZ-MEL-019,5,12,0,MONTHLY
GZ-MEL-019,6,12,0,MONTHLY
GZ-MEL-019,7,12,0,MONTHLY
GZ-MEL-019,7,29,1,ANNUAL
GZ-MEL-019,8,12,0,MONTHLY
GZ-MEL-019,9,12,0,MONTHLY
GZ-MEL-019,10,12,1,ANNUAL+MONTHLY
GZ-MEL-019,11,12,0,MONTHLY
GZ-MEL-019,12,12,0,MONTHLY
GZ-MEL-020,1,1,0,MONTHLY
GZ-MEL-020,2,1,0,MONTHLY
GZ-MEL-020,3,1,0,MONTHLY
GZ-MEL-020,4,1,0,MONTHLY
GZ-MEL-020,5,1,0,MONTHLY
GZ-MEL-020,6,1,0,MONTHLY
GZ-MEL-020,7,1,0,MONTHLY
GZ-MEL-020,8,1,0,MONTHLY
GZ-MEL-020,9,1,1,ANNUAL+MONTHLY
GZ-MEL-020,10,1,0,MONTHLY
GZ-MEL-020,11,1,0,MONTHLY
GZ-MEL-020,12,1,0,MONTHLY
GZ-MEL-020,13,1,0,MONTHLY
GZ-MEL-041,1,11,0,MONTHLY
GZ-MEL-041,2,11,0,MONTHLY
GZ-MEL-041,3,11,0,MONTHLY
GZ-MEL-041,4,11,0,MONTHLY
GZ-MEL-041,5,11,0,MONTHLY
GZ-MEL-041,6,11,1,ANNUAL+MONTHLY
GZ-MEL-041,7,11,0,MONTHLY
GZ-MEL-041,8,11,0,MONTHLY
