month,day,kind,position,sinksar_name
1,2,annual,2,ቅዱስ ዳስያ ሰማዕት
1,2,annual,3,ቅዱስ ዲዲሞስ ሰማዕት
1,2,annual,4,ቅድስት መሪና
1,2,monthly,2,ቅዱስ ኢዮብ ጻድቅ ተአጋሲ
1,2,monthly,3,ቅዱስ አቤል ጻድቅ
1,2,monthly,4,ቅዱስ አባ ዻውሊ ገዳማዊ (ታላቁ)
1,2,monthly,5,ቅዱስ ሳዊሮስ ዘአንጾኪያ
1,2,monthly,6,አባ ሕርያቆስ ዘሃገረ ብሕንሳ
1,8,annual,1,ቅዱስ ሙሴ ሊቀ ነቢያት
1,8,annual,2,ቅዱስ ዘካርያስ ካህን (ጻድቅ ነቢይ)
1,8,annual,3,ቅዱስ አሮን ካህን
1,8,annual,4,ቅዱስ ዲማድዮስ ሰማዕት
1,8,monthly,1,ቅዱስ ማትያስ ሐዋርያ (ከ፲፪ቱ ሐዋርያት)
1,8,monthly,3,አባ ብሶይ (ቢሾይ)
1,8,monthly,5,አባ ሳሙኤል ዘደብረ ቀልሞን
1,28,annual,3,ቅድስት ሶስና እናታችን
1,28,annual,4,ቅዱስ ሉቃስ መነኰስ
1,28,annual,5,ቅዱስ ዻውፍርና
1,28,monthly,3,ቅዱስ እንድራኒቆስና ሚስቱ ቅድስት አትናስያ
1,28,monthly,4,ቅድስት ዓመተ ክ ክርስቶስ
1,28,monthly,5,ቅዱስ ቴዎድሮስ ሮማዊ (ሰማዕት)
2,3,annual,1,ቅዱስ ጊዮርጊስ ሐዲስ (ሰማዕት)
2,3,annual,2,አባ ስምዖን ሊቀ ዻዻሳት
2,3,annual,3,ቅዱስ ጎርጎርዮስ ዘአርማንያ
2,3,annual,4,ቅድስት ታኦድራ ልዕልት
2,3,annual,5,ቅድስት ታኦፊላ
2,3,monthly,1,በዓታ ለእግዝእትነ ማርያም ድንግል ወላዲተ አምላክ
2,3,monthly,3,ቅዱሳን ሊቃነ ካህናት አበው (ዘካርያስና ስምዖን)
2,3,monthly,7,ቅዱስ ቄርሎስ ሊቅ (ዓምደ ሃይማኖት)
2,7,annual,1,አባ ባውላ መስተጋድል
2,7,annual,2,አባ ሕዝቅኤል ጻድቅ
2,7,annual,3,ቅዱስ ሚናስ ሰማዕት
2,7,annual,4,ቅዱስ ሐናሲ ሰማዕት
2,7,monthly,1,ሥሉስ ቅዱስ (አብ ወወልድ ወመንፈስ ቅዱስ)
2,7,monthly,3,አባ ሲኖዳ (የባሕታውያን አለቃ)
2,7,monthly,4,አባ ዳንኤል ዘገዳመ ሲሐት
2,7,monthly,5,አባ ባውላ ገዳማዊ
2,7,monthly,6,ቅዱስ አትናቴዎስ ሐዋርያዊ
2,27,annual,2,ቅዱስ መቃርስ ብጹዓዊ
2,27,annual,4,አባ ጽጌ ድንግል ዘወለቃ
2,27,monthly,1,ቅዱስ መቃርስ (የመነኮሳት ሁሉ አለቃ)
2,27,monthly,2,ቅዱስ ያዕቆብ ዘግሙድ
2,27,monthly,3,ቅዱስ ገላውዴዎስ ሰማዕት (ንጉሠ ኢትዮዽያ)
2,27,monthly,4,ቅዱስ ቢፋሞን ጻድቅና ሰማዕት
3,2,annual,1,አባ ዼጥሮስ ሊቀ ዻዻሳት ሣልስ
3,2,annual,2,አባ ሱንትዩ ሊቀ ዻዻሳት
3,2,annual,3,ቅድስት ሴቴንዋ ነቢዪት
3,2,annual,4,ቅድስት አንስጣስያ
3,2,monthly,2,ቅዱስ ኢዮብ ጻድቅ ተአጋሲ
3,2,monthly,3,ቅዱስ አቤል ጻድቅ
3,2,monthly,4,ቅዱስ አባ ዻውሊ ገዳማዊ (ታላቁ)
3,2,monthly,6,ሊቁ አባ ሕርያቆስ
3,2,monthly,7,ቅዱስ ሳዊሮስ ዘአንጾኪያ
3,23,annual,1,ቅዱስ ቆርኔሌዎስ (ሐዋርያዊ ጻድቅ)
3,23,annual,2,ቅዱስ አብድዩ ነቢይ
3,23,monthly,3,ነቢየ ጽድቅ ቅዱስ ሰሎሞን (ንጉሠ እሥራኤል)
3,23,monthly,4,አባ ጢሞቴዎስ ገዳማዊ
3,23,monthly,5,ቅዱስ ዳንኤል ነቢይ
3,23,monthly,6,አባ ሳሙኤል
3,23,monthly,7,አባ ስምዖን
3,23,monthly,8,አባ ገብርኤል
3,28,annual,2,ቅዱስ ሰረባሞን ሰማዕት
3,28,monthly,3,ቅዱስ እንድራኒቆስና ሚስቱ ቅድስት አትናስያ
3,28,monthly,4,ቅድስት ዓመተ ክ ክርስቶስ
3,28,monthly,5,ቅዱስ ቴዎድሮስ ሮማዊ (ሰማዕት)
3,28,monthly,6,ቅዱስ አባዲርና ቅድስት ኢራኢ
4,6,annual,2,"""፩፲፱"" ሰማዕታት (ማሕበሯ)"
4,6,annual,3,ቅዱስ ስምዖን ጻድቅ (ጫማ ሠፊው)
4,6,annual,4,አባ አብርሃም ሶርያዊ
4,6,annual,5,ቅዱስ እንጣልዮስ ሰማዕት
4,12,annual,2,ቅዱሳን አንቂጦስ ወፎጢኖስ (ሰማዕታት)
4,12,annual,3,አባ ነድራ
4,12,annual,4,ቅዱስ ዮሐንስ ተአማኒ
4,12,annual,5,ጉቡዓን ኤዺስ ቆዾሳት
4,12,monthly,3,ቅዱስ ዮሐንስ አፈ ወርቅ
