book_id,ethiopian_month,ethiopian_day,is_annual,reading_cycle,kind
AM-DRS-002,,,0,ALWAYS,ALWAYS
AM-DRS-007,,,0,ALWAYS,ALWAYS
AM-ENZ-001,,,0,ALWAYS,ALWAYS
AM-ETA-001,,,0,ALWAYS,ALWAYS
AM-KOH-001,,,0,ALWAYS,ALWAYS
AM-MEL-001,,,0,ALWAYS,ALWAYS
AM-MEL-004,,,0,ALWAYS,ALWAYS
AM-MEL-007,,,0,ALWAYS,ALWAYS
AM-MEL-010,,,0,ALWAYS,ALWAYS
AM-MEL-011,,,0,ALWAYS,ALWAYS
AM-MEL-026,,,0,ALWAYS,ALWAYS
AM-MTS-001,,,0,ALWAYS,ALWAYS
AM-SEY-002,,,0,ALWAYS,ALWAYS
AM-TEA-001,,,0,ALWAYS,ALWAYS
AM-TSE-006,,,0,ALWAYS,ALWAYS
AM-WUD-002,,,0,ALWAYS,ALWAYS
AM-WUD-003,,,0,ALWAYS,ALWAYS
AM-ZNA-001,,,0,ALWAYS,ALWAYS
EN-WUD-001,,,0,ALWAYS,ALWAYS
GZ-ENZ-001,,,0,ALWAYS,ALWAYS
GZ-KOH-001,,,0,ALWAYS,ALWAYS
GZ-MEL-024,,,0,ALWAYS,ALWAYS
GZ-MEL-029,,,0,ALWAYS,ALWAYS
GZ-MEL-035,,,0,ALWAYS,ALWAYS
GZ-MEL-044,,,0,ALWAYS,ALWAYS
GZ-MEL-046,,,0,ALWAYS,ALWAYS
GZ-MTS-003,,,0,ALWAYS,ALWAYS
GZ-SEY-002,,,0,ALWAYS,ALWAYS
GZ-TEA-001,,,0,ALWAYS,ALWAYS
GZ-TSE-003,,,0,ALWAYS,ALWAYS
GZ-WUD-002,,,0,ALWAYS,ALWAYS
GZ-ZNA-004,,,0,ALWAYS,ALWAYS
TI-WUD-001,,,0,ALWAYS,ALWAYS
TI-WUD-002,,,0,ALWAYS,ALWAYS
