type,book_id,title,detail,sinksar_name,app_notes,shared,coverage,expected
A_annual_vs_monthly,GZ-MEL-041,መልክዐ ሰማዕት ቅዱስ ፋሲለደስ በግእዝ,1/11,ቅዱስ ፋሲለደስ ሰማዕት,MONTHLY,ፋሲለደስ,,
A_annual_vs_monthly,GZ-MZM-001,መዝሙረ ክርስቶስ በግእዝ,1/29,ቅድስት ክርስቶስ ክብራ ኢትዮዽያዊት (በዚህ ቀን ነፍሳትን ከሲዖል ታወጣለች),MONTHLY,ክርስቶስ,,
A_annual_vs_monthly,GZ-MZM-002,መዝሙረ ክርስቶስ ካልዕ በግእዝ,1/29,ቅድስት ክርስቶስ ክብራ ኢትዮዽያዊት (በዚህ ቀን ነፍሳትን ከሲዖል ታወጣለች),MONTHLY,ክርስቶስ,,
A_annual_vs_monthly,GZ-MZM-003,መዝሙረ ክርስቶስ ዘመኃልየ መኃልይ። በግእዝ,1/29,ቅድስት ክርስቶስ ክብራ ኢትዮዽያዊት (በዚህ ቀን ነፍሳትን ከሲዖል ታወጣለች),MONTHLY,ክርስቶስ,,
A_annual_vs_monthly,AM-MEL-018,መልክዐ ቅድስት ፍቅርተ ክርስቶስ በአማርኛ,1/29,ቅድስት ክርስቶስ ክብራ ኢትዮዽያዊት (በዚህ ቀን ነፍሳትን ከሲዖል ታወጣለች),MONTHLY,ክርስቶስ,,
A_annual_vs_monthly,GZ-MEL-066,መልክዐ ቅድስት ፍቅርተ ክርስቶስ በግእዝ,1/29,ቅድስት ክርስቶስ ክብራ ኢትዮዽያዊት (በዚህ ቀን ነፍሳትን ከሲዖል ታወጣለች),MONTHLY,ክርስቶስ,,
A_annual_vs_monthly,GZ-MEL-060,መልክዐ ቅዱስ ዮሐንስ መጥምቅ በግእዝ,1/30,ቅዱሳን ያዕቆብና ዮሐንስ ሐዋርያት (ለወንጌል የተጠሩበት),MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,AM-MEL-048,የቅዱስ ዮሐንስ መጥምቅ መልክዕ በአማርኛ,1/30,ቅዱሳን ያዕቆብና ዮሐንስ ሐዋርያት (ለወንጌል የተጠሩበት),MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,AM-GDL-013,የቅዱስ ዮሐንስ ገድል በአማርኛ,2/4,ቅዱስ ዮሐንስ ሕጽው,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,AM-MEL-016,መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በአማርኛ,2/4,ቅዱስ ዮሐንስ ሕጽው,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,AM-MEL-047,የቅዱስ ዮሐንስ 2ኛ መልክዕ በአማርኛ,2/4,ቅዱስ ዮሐንስ ሕጽው,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MEL-061,መልክዐ ቅዱስ ዮሐንስ ካልእ በግእዝ,2/4,ቅዱስ ዮሐንስ ሕጽው,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MEL-062,መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በግእዝ,2/4,ቅዱስ ዮሐንስ ሕጽው,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MEL-149,መልክዐ ዮሐንስ ወልደ ነጎድጓድ በግእዝ,2/4,ቅዱስ ዮሐንስ ሕጽው,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MEL-150,መልክዐ ዮሐንስ ፍቁረ እግዚእ በግእዝ,2/4,ቅዱስ ዮሐንስ ሕጽው,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MEL-041,መልክዐ ሰማዕት ቅዱስ ፋሲለደስ በግእዝ,2/11,ቅዱስ ፋሲለደስ ሰማዕት,MONTHLY,ፋሲለደስ,,
A_annual_vs_monthly,GZ-MEL-084,መልክዐ አቡነ ሳሙኤል በግእዝ ሣልስ በግእዝ,2/12,ቅዱስ ሳሙኤል ነቢይ,MONTHLY,ሳሙኤል,,
A_annual_vs_monthly,AM-MEL-054,የአቡነ ሳሙኤል ዘዋልድባ መልክዕ በአማርኛ,2/12,ቅዱስ ሳሙኤል ነቢይ,MONTHLY,ሳሙኤል,,
A_annual_vs_monthly,AM-MEL-055,የአቡነ ሳሙኤል ዘዋልድባ ኹለተኛ መልክዕ በአማርኛ,2/12,ቅዱስ ሳሙኤል ነቢይ,MONTHLY,ሳሙኤል,,
A_annual_vs_monthly,GZ-MEL-085,መልክዐ አቡነ ሳሙኤል ዘዋልድባ በግእዝ,2/12,ቅዱስ ሳሙኤል ነቢይ,MONTHLY,ሳሙኤል,,
A_annual_vs_monthly,GZ-MEL-086,መልክዐ አቡነ ሳሙኤል ዘዋልድባ ካልዕ በግእዝ,2/12,ቅዱስ ሳሙኤል ነቢይ,MONTHLY,ሳሙኤል,,
A_annual_vs_monthly,AM-GDL-023,የቅዱስ ቂርቆስና የቅድስት ኢየሉጣ ገድል በአማርኛ,2/15,"""፻፶፰"" ሰማዕታት (የቅዱስ ቢላሞን ማሕበር)",MONTHLY,የቅዱስ,,
A_annual_vs_monthly,AM-MIK-001,ምክሓ ምእመናን ክርስቶስ በአማርኛ,2/27,ጌታችን ኢየሱስ ክርስቶስ,MONTHLY,ክርስቶስ,,
A_annual_vs_monthly,GZ-MEL-060,መልክዐ ቅዱስ ዮሐንስ መጥምቅ በግእዝ,2/30,ቅዱስ ዮሐንስ መጥምቀ መለኮት,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,AM-MEL-048,የቅዱስ ዮሐንስ መጥምቅ መልክዕ በአማርኛ,2/30,ቅዱስ ዮሐንስ መጥምቀ መለኮት,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,AM-GDL-013,የቅዱስ ዮሐንስ ገድል በአማርኛ,3/4,ቅዱሳን ያዕቆብና ዮሐንስ,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,AM-MEL-016,መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በአማርኛ,3/4,ቅዱሳን ያዕቆብና ዮሐንስ,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,AM-MEL-047,የቅዱስ ዮሐንስ 2ኛ መልክዕ በአማርኛ,3/4,ቅዱሳን ያዕቆብና ዮሐንስ,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MEL-061,መልክዐ ቅዱስ ዮሐንስ ካልእ በግእዝ,3/4,ቅዱሳን ያዕቆብና ዮሐንስ,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MEL-062,መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በግእዝ,3/4,ቅዱሳን ያዕቆብና ዮሐንስ,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MEL-149,መልክዐ ዮሐንስ ወልደ ነጎድጓድ በግእዝ,3/4,ቅዱሳን ያዕቆብና ዮሐንስ,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MEL-150,መልክዐ ዮሐንስ ፍቁረ እግዚእ በግእዝ,3/4,ቅዱሳን ያዕቆብና ዮሐንስ,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,AM-GDL-001,ገድለ ቅዱስ አባ ጊዮርጊስ ዘጋሥጫ በአማርኛ,3/7,ቅዱስ ጊዮርጊስ ሊቀ ሰማዕታት (ቅዳሴ ቤቱ),MONTHLY,ጊዮርጊስ,,
A_annual_vs_monthly,GZ-GDL-007,ገድለ ቅዱስ አባ ጊዮርጊስ ዘጋሥጫ በግእዝ,3/7,ቅዱስ ጊዮርጊስ ሊቀ ሰማዕታት (ቅዳሴ ቤቱ),MONTHLY,ጊዮርጊስ,,
A_annual_vs_monthly,GZ-MEL-123,መልክዐ አባ ጊዮርጊስ ዘጋሥጫ በግእዝ,3/7,ቅዱስ ጊዮርጊስ ሊቀ ሰማዕታት (ቅዳሴ ቤቱ),MONTHLY,ጊዮርጊስ,,
A_annual_vs_monthly,AM-GDL-001,ገድለ ቅዱስ አባ ጊዮርጊስ ዘጋሥጫ በአማርኛ,3/7,ቅዱስ ጊዮርጊስ እስክንድርያዊ,MONTHLY,ጊዮርጊስ,,
A_annual_vs_monthly,GZ-GDL-007,ገድለ ቅዱስ አባ ጊዮርጊስ ዘጋሥጫ በግእዝ,3/7,ቅዱስ ጊዮርጊስ እስክንድርያዊ,MONTHLY,ጊዮርጊስ,,
A_annual_vs_monthly,GZ-MEL-123,መልክዐ አባ ጊዮርጊስ ዘጋሥጫ በግእዝ,3/7,ቅዱስ ጊዮርጊስ እስክንድርያዊ,MONTHLY,ጊዮርጊስ,,
A_annual_vs_monthly,AM-MEL-015,መልክዐ ቅዱስ ቂርቆስ በአማርኛ,3/15,ልደተ ቅዱስ ቂርቆስ,MONTHLY,ቂርቆስ,,
A_annual_vs_monthly,GZ-MEL-054,መልክዐ ቅዱስ ቂርቆስ በግእዝ,3/15,ልደተ ቅዱስ ቂርቆስ,MONTHLY,ቂርቆስ,,
A_annual_vs_monthly,AM-GDL-023,የቅዱስ ቂርቆስና የቅድስት ኢየሉጣ ገድል በአማርኛ,3/15,ብጽዕት ኢየሉጣ,MONTHLY,ኢየሉጣ,,
A_annual_vs_monthly,GZ-MEL-043,መልክዐ ሰማዕት ቅድስት ኢየሉጣ በግእዝ,3/15,ብጽዕት ኢየሉጣ,MONTHLY,ኢየሉጣ,,
A_annual_vs_monthly,AM-MEL-021,መልክዐ አቡነ ዮሐንስ ጻድቅ በአማርኛ,3/16,አባ ዮሐንስ መሐሪ,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MZM-001,መዝሙረ ክርስቶስ በግእዝ,3/29,ቅዱሳን ሰማዕታተ ክርስቶስ (ሁሉም),MONTHLY,ክርስቶስ,,
