book_id,language_id,category_id,main_category_id,sub_category_id,title
AM-KID-001,AM,TSE,MC-09,SC-09-04,መዓዛ ቅዳሴ በአማርኛ
AM-MEN-001,AM,TSE,MC-09,SC-09-03,መንገደ ሰማይ በአማርኛ
AM-SBT-001,AM,TSE,MC-08,SC-08-04,የሰባት (፯) ቁጥር ምስጢራትና ምሉዕነት
GZ-DRS-006,GZ,DRS,MC-04,SC-04-03,ድርሳን ዘብጹዕ ፊሳልጎስ በግእዝ
GZ-GDL-001,GZ,GDL,MC-05,SC-05-04,ገድለ አቡነ ፊልጶስ ዘደብረ ሊባኖስ በግእዝ
GZ-GDL-005,GZ,GDL,MC-05,SC-05-04,ገድለ አቡነ አበክረዙን በግእዝ
GZ-GDL-009,GZ,GDL,MC-05,SC-05-02,ገድለ ቅዱስ ሱስንዮስ በግእዝ
GZ-GDL-012,GZ,GDL,MC-05,SC-05-02,ገድለ ቅዱስ ቈጵርያኖስ ወቅድስት ኢዩስጣ በግእዝ
GZ-GDL-018,GZ,GDL,MC-05,SC-05-04,ገድለ አቡነ ዮሐንስ በግእዝ
GZ-GDL-021,GZ,GDL,MC-05,SC-05-03,ድርሳን ወገድል ዘቅዱስ ያሬድ በግእዝ
GZ-GDL-026,GZ,GDL,MC-05,SC-05-02,ገድለ ቅዱሳን አባዲር ወኢራኢ በግእዝ
GZ-GDL-034,GZ,GDL,MC-05,SC-05-04,ገድለ አቡነ ፍሬ ሚካኤል በግእዝ
GZ-MEL-003,GZ,MEL,MC-06,SC-06-03,መልከዐ አቡነ ሊቃኖስ በግእዝ
GZ-MEL-008,GZ,MEL,MC-06,SC-06-01,መልክዐ ሊቀ መላእክት ቅዱስ ሱርያል በግእዝ
GZ-MEL-009,GZ,MEL,MC-06,SC-06-01,መልክዐ ሊቀ መላእክት ቅዱስ በግእዝ
GZ-MEL-015,GZ,MEL,MC-06,SC-06-01,መልክዐ ሊቀ መላእክት ቅዱስ ፋኑኤል በግእዝ
GZ-MEL-019,GZ,MEL,MC-06,SC-06-03,መልክዐ ላሊበላ በግዕዝ
GZ-MEL-020,GZ,MEL,MC-06,SC-06-02,መልክዐ ልደታ በግእዝ
GZ-MEL-033,GZ,MEL,MC-06,SC-06-03,መልክዐ ሠለስቱ ምዕት በግእዝ
GZ-MEL-034,GZ,MEL,MC-06,SC-06-01,መልክዐ ሥሉስ ቅዱስ በግእዝ
GZ-MEL-038,GZ,MEL,MC-06,SC-06-03,መልክዐ ሰላማ በግእዝ
GZ-MEL-041,GZ,MEL,MC-06,SC-06-03,መልክዐ ሰማዕት ቅዱስ ፋሲለደስ በግእዝ
GZ-MEL-048,GZ,MEL,MC-06,SC-06-03,መልክዐ ቅዱሳን ዘመጠራ በግእዝ
GZ-MEL-056,GZ,MEL,MC-06,SC-06-03,መልክዐ ቅዱስ አባዲር በግእዝ
GZ-MEL-067,GZ,MEL,MC-06,SC-06-01,መልክዐ ቍርባን በግዕዝ
GZ-MEL-070,GZ,MEL,MC-06,SC-06-03,መልክዐ ተክለ ማርያም ዘይሰመይ መብዓ ጽዮን በግእዝ
GZ-MEL-072,GZ,MEL,MC-06,SC-06-01,መልክዐ አማኑኤል በግእዝ
GZ-MEL-076,GZ,MEL,MC-06,SC-06-03,መልክዐ አቡነ መርቆሬዎስ ዘደብረ ድማኅ በግእዝ
GZ-MEL-077,GZ,MEL,MC-06,SC-06-03,መልክዐ አቡነ መዝገበ ሥላሴ በግእዝ
GZ-MEL-078,GZ,MEL,MC-06,SC-06-03,መልክዐ አቡነ መድኃኒነ እግዚእ በግእዝ
GZ-MEL-079,GZ,MEL,MC-06,SC-06-03,መልክዐ አቡነ ሙሴ በግእዝ
GZ-MEL-080,GZ,MEL,MC-06,SC-06-03,መልክዐ አቡነ ማቴዎስ ዘደብረ በርበሬ በግእዝ
GZ-MEL-081,GZ,MEL,MC-06,SC-06-03,መልክዐ አቡነ ማቴዎስ ዘደብረ በርበሬ በግእዝ ካልእ
GZ-MEL-083,GZ,MEL,MC-06,SC-06-03,መልክዐ አቡነ ሰይፈ ሚካኤል በግእዝ
GZ-MEL-090,GZ,MEL,MC-06,SC-06-03,መልክዐ አቡነ ተንሥአ መድኅን በግእዝ
GZ-MEL-093,GZ,MEL,MC-06,SC-06-03,መልክዐ አቡነ ተክለ አልፋ በግእዝ
GZ-MEL-094,GZ,MEL,MC-06,SC-06-03,መልክዐ አቡነ ቶማስ ዘዘናቁዴ በግእዝ
GZ-MEL-099,GZ,MEL,MC-06,SC-06-03,መልክዐ አቡነ አብሳዲ ዘደብረ ማርያም በግእዝ
GZ-MEL-100,GZ,MEL,MC-06,SC-06-03,መልክዐ አቡነ አፍቅረነ እግዚእ በግእዝ
GZ-MEL-102,GZ,MEL,MC-06,SC-06-03,መልክዐ አቡነ እንድርያስ ዘደብረ ስኂን (ፅፉን) በግእዝ
GZ-MEL-103,GZ,MEL,MC-06,SC-06-03,መልክዐ አቡነ እንድርያስ ዘደብረ ጽጌ በግእዝ
GZ-MEL-107,GZ,MEL,MC-06,SC-06-03,መልክዐ አቡነ የሐንስ ዘደብረ ቢዘን በግእዝ
GZ-MEL-108,GZ,MEL,MC-06,SC-06-03,መልክዐ አቡነ ይምአታ በግእዝ
GZ-MEL-109,GZ,MEL,MC-06,SC-06-03,መልክዐ አቡነ ዮሐንስ ከማ በግእዝ
GZ-MEL-110,GZ,MEL,MC-06,SC-06-03,መልክዐ አቡነ ዮሐንስ ዘድብረ ዳጋ በግእዝ
GZ-MEL-113,GZ,MEL,MC-06,SC-06-03,መልክዐ አቡነ ዮናስ ዘደብረ ድኁኃን ዘደብረ ጽጌ ወዘደብረ ጽዮን በግእዝ
GZ-MEL-115,GZ,MEL,MC-06,SC-06-03,መልክዐ አቡነ ጰንጠሌዎን በግእዝ
GZ-MEL-120,GZ,MEL,MC-06,SC-06-03,መልክዐ አቡነ ፊልጶስ ዘደብረ ቢዘን በግእዝ
GZ-MEL-135,GZ,MEL,MC-06,SC-06-03,መልክዐ ኤዎስጣቴዎስ በግእዝ
GZ-MEL-138,GZ,MEL,MC-06,SC-06-03,መልክዐ እንጦንዮስ በግእዝ
GZ-MEL-139,GZ,MEL,MC-06,SC-06-01,መልክዐ እግዚአብሔር አብ በግእዝ
GZ-MEL-140,GZ,MEL,MC-06,SC-06-01,መልክዐ እግዚአብሔር አብ ካልዕ በግእዝ
GZ-MEL-142,GZ,MEL,MC-06,SC-06-01,መልክዐ ካህናተ ሰማይ በግእዝ
GZ-MEL-146,GZ,MEL,MC-06,SC-06-03,መልክዐ ያሬድ በግእዝ
GZ-MEL-147,GZ,MEL,MC-06,SC-06-03,መልክዐ ያሬድ ካልዕ በግእዝ
GZ-MEL-148,GZ,MEL,MC-06,SC-06-03,መልክዐ ይምርሃነ ክርስቶስ በግእዝ
GZ-MEL-153,GZ,MEL,MC-06,SC-06-03,መልክዐ ገብረ ክርስቶስ በግእዝ
GZ-MEL-158,GZ,MEL,MC-06,SC-06-03,መልክዐ ጴጥሮስ ወጳውሎስ በግእዝ
GZ-MEL-164,GZ,MEL,MC-06,SC-06-01,መልክዐ ፬ቱ እንስሳ በግእዝ
GZ-MTS-001,GZ,MTS,MC-08,SC-08-04,መጽሐፈ ልደታ ለማርያም በግእዝ
GZ-MTS-002,GZ,MTS,MC-09,SC-09-03,መጽሐፈ ሕይወት ዘትሰመይ ልፋፈ ጽድቅ በግእዝ
