book_id,language_id,category_id,main_category_id,sub_category_id,subject_category,title,total_chapters,weekday_chapter_count,weekday_chapters,matched_mapped_books,matched_csv_groups,unmapped_cluster
AM-KID-001,AM,TSE,MC-09,SC-09-04,AMLAK,መዓዛ ቅዳሴ በአማርኛ,1,0,,,"መዓዛ ቅዳሴ [] (መዓዛ,ቅዳሴ)",
AM-MEN-001,AM,TSE,MC-09,SC-09-03,AMLAK,መንገደ ሰማይ በአማርኛ,1,0,,,መንገደ ሰማይ [ጸሎተ ፍትሐት (Funeral & Memorial Services)] (መንገደ),
AM-SBT-001,AM,TSE,MC-08,SC-08-04,HAYMANOT,የሰባት (፯) ቁጥር ምስጢራትና ምሉዕነት,1,0,,,,
GZ-DRS-006,GZ,DRS,MC-04,SC-04-03,TSADQAN,ድርሳን ዘብጹዕ ፊሳልጎስ በግእዝ,1,0,,,,
GZ-GDL-001,GZ,GDL,MC-05,SC-05-04,TSADQAN,ገድለ አቡነ ፊልጶስ ዘደብረ ሊባኖስ በግእዝ,22,0,,AM-MEL-053 (ሊባኖስ) ; GZ-GDL-011 (ፊልጶስ) ; GZ-MEL-018 (ሊባኖስ) ; GZ-MEL-074 (ሊባኖስ) ; GZ-MEL-118 (ፊልጶስ),,GZ-MEL-120
GZ-GDL-005,GZ,GDL,MC-05,SC-05-04,TSADQAN,ገድለ አቡነ አበክረዙን በግእዝ,1,0,,,,
GZ-GDL-009,GZ,GDL,MC-05,SC-05-02,TSADQAN,ገድለ ቅዱስ ሱስንዮስ በግእዝ,1,0,,,,
GZ-GDL-012,GZ,GDL,MC-05,SC-05-02,TSADQAN,ገድለ ቅዱስ ቈጵርያኖስ ወቅድስት ኢዩስጣ በግእዝ,1,0,,,,
GZ-GDL-018,GZ,GDL,MC-05,SC-05-04,TSADQAN,ገድለ አቡነ ዮሐንስ በግእዝ,1,0,,,,
GZ-GDL-021,GZ,GDL,MC-05,SC-05-03,TSADQAN,ድርሳን ወገድል ዘቅዱስ ያሬድ በግእዝ,4,0,,,,"GZ-MEL-146,GZ-MEL-147"
GZ-GDL-026,GZ,GDL,MC-05,SC-05-02,TSADQAN,ገድለ ቅዱሳን አባዲር ወኢራኢ በግእዝ,1,0,,,,GZ-MEL-056
GZ-GDL-034,GZ,GDL,MC-05,SC-05-04,MALAKT,ገድለ አቡነ ፍሬ ሚካኤል በግእዝ,1,0,,,,
GZ-MEL-003,GZ,MEL,MC-06,SC-06-03,TESATU,መልከዐ አቡነ ሊቃኖስ በግእዝ,1,0,,,,
GZ-MEL-008,GZ,MEL,MC-06,SC-06-01,MALAKT,መልክዐ ሊቀ መላእክት ቅዱስ ሱርያል በግእዝ,1,0,,,,
GZ-MEL-009,GZ,MEL,MC-06,SC-06-01,MALAKT,መልክዐ ሊቀ መላእክት ቅዱስ በግእዝ,1,0,,,,
GZ-MEL-015,GZ,MEL,MC-06,SC-06-01,MALAKT,መልክዐ ሊቀ መላእክት ቅዱስ ፋኑኤል በግእዝ,1,0,,,,
GZ-MEL-019,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ ላሊበላ በግዕዝ,2,0,,,,
GZ-MEL-020,GZ,MEL,MC-06,SC-06-02,MARIAM,መልክዐ ልደታ በግእዝ,1,0,,,,
