eth_date,day_id,saint_name,saint_core,kind,status,books_on_correct_date,all_books_exist,mapped_dates_in_tselot
1-1,1,ርዕሰ ዓውደ ዓመት,ርዕሰ ዓውደ ዓመት,annual,NO_BOOK,,,
1-1,1,ቅዱስ በርተሎሜዎስ ሐዋርያ,በርተሎሜዎስ,annual,NO_BOOK,,,
1-1,1,ቅዱስ /ማር/ ሚልኪ (ትሩፈ ምግባር),/ማር/ ሚልኪ,annual,NO_BOOK,,,
1-1,1,ቅዱስ ራጉኤል ሊቀ መላእክት,ራጉኤል ሊቀ መላእክት,annual,CORRECT,AM-MEL-014:መልክዐ ቅዱስ ራጉኤል በአማርኛ | GZ-MEL-007:መልክዐ ሊቀ መላእክት ቅዱስ ራጉኤል በግእዝ | GZ-DRS-003:ድርሳነ ቅዱስ ራጉኤል በግእዝ | AM-DRS-010:ድርሳነ ቅዱስ ራጉኤል በአማርኛ,AM-DIR-001:የሰባቱ ሊቃነ መላእክት ድርሳን በአማርኛ | AM-MEL-014:መልክዐ ቅዱስ ራጉኤል በአማርኛ | AM-MEL-038:የቅዱሳን አእላፍ መላእክት 2ኛ መልክዕ በአማርኛ | GZ-MEL-004:መልክዐ ሊቀ መላእክት ቅዱስ ሚካኤል ሣልስ በግእዝ | GZ-MEL-005:መልክዐ ሊቀ መላእክት ቅዱስ ሚካኤል ካልዕ በግእዝ | GZ-MEL-006:መልክዐ ሊቀ መላእክት ቅዱስ ሩፋኤል በግእዝ | GZ-MEL-007:መልክዐ ሊቀ መላእክት ቅዱስ ራጉኤል በግእዝ | GZ-MEL-008:መልክዐ ሊቀ መላእክት ቅዱስ ሱርያል በግእዝ | GZ-MEL-009:መልክዐ ሊቀ መላእክት ቅዱስ በግእዝ | GZ-MEL-010:መልክዐ ሊቀ መላእክት ቅዱስ አፍኒን በግእዝ | GZ-MEL-011:መልክዐ ሊቀ መላእክት ቅዱስ ዑራኤል በግእዝ | GZ-MEL-012:መልክዐ ሊቀ መላእክት ቅዱስ ዑራኤል ካልእ በግእዝ | GZ-MEL-013:መልክዐ ሊቀ መላእክት ቅዱስ ገብርኤል በግእዝ | GZ-MEL-014:መልክዐ ሊቀ መላእክት ቅዱስ ገብርኤል ካልዕ (ደቅስዮስ) በግእዝ | GZ-MEL-015:መልክዐ ሊቀ መላእክት ቅዱስ ፋኑኤል በግእዝ | GZ-MEL-125:መልክዐ አእላፍ መላእክት በግእዝ | GZ-MEL-126:መልክዐ አእላፍ መላእክት ካልእ በግእዝ | GZ-MEL-165:መልክዐ ሊቀ መላእክት ቅዱስ ሚካኤል ካልዕ በግእ | GZ-DRS-003:ድርሳነ ቅዱስ ራጉኤል በግእዝ | AM-DRS-010:ድርሳነ ቅዱስ ራጉኤል በአማርኛ,"1-1, 1-1, 1-1, 1-1, 1-3, 1-9, 1-9, 1-9, 1-12, 1-12"
1-1,1,ቅዱስ ኢዮብ ተአጋሲ,ኢዮብ ተአጋሲ,annual,NO_BOOK,,,
1-1,1,ቅዱስ ሜልዮስ ሊቀ ዻዻሳት,ሜልዮስ ሊቀ ዻዻሳት,annual,NO_BOOK,,,
1-1,1,ልደታ ለማርያም ድንግል እግዝእትነ,ልደታ ለማርያም ድንግል እግዝእትነ,monthly,CORRECT,GZ-MEL-020:መልክዐ ልደታ በግእዝ | GZ-MTS-001:መጽሐፈ ልደታ ለማርያም በግእዝ,GZ-MEL-020:መልክዐ ልደታ በግእዝ | GZ-MTS-001:መጽሐፈ ልደታ ለማርያም በግእዝ,"1-1, 1-1, 2-1, 2-1, 3-1, 3-1, 4-1, 4-1, 5-1, 5-1"
1-1,1,ቅዱሳን ኢያቄም ወሐና,ኢያቄም ወሐና,monthly,CORRECT,GZ-MEL-133:መልክዐ ኢያቄም በግእዝ | AM-DRS-001:የቅዱስ ኢያቄምና- የቅድስት ሐና ድርሳን በአማርኛ | GZ-DRS-007:ድርሳን ዘቅዱስ ኢያቄም ወቅድስት ሐና በግእዝ,GZ-MEL-133:መልክዐ ኢያቄም በግእዝ | AM-DRS-001:የቅዱስ ኢያቄምና- የቅድስት ሐና ድርሳን በአማርኛ | GZ-DRS-007:ድርሳን ዘቅዱስ ኢያቄም ወቅድስት ሐና በግእዝ,"1-1, 1-1, 1-1, 1-3, 1-3, 1-3, 1-7, 1-7, 1-7, 1-11"
1-2,2,ቅዱስ ዮሐንስ ነቢይ (መጥምቀ መለኮት),ዮሐንስ ነቢይ,annual,CORRECT,AM-MEL-048:የቅዱስ ዮሐንስ መጥምቅ መልክዕ በአማርኛ | GZ-MEL-060:መልክዐ ቅዱስ ዮሐንስ መጥምቅ በግእዝ,AM-MEL-016:መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በአማርኛ | AM-MEL-020:መልክዐ አቡነ ዕጨጌ ዮሐንስ በአማርኛ | AM-MEL-021:መልክዐ አቡነ ዮሐንስ ጻድቅ በአማርኛ | AM-MEL-047:የቅዱስ ዮሐንስ 2ኛ መልክዕ በአማርኛ | AM-MEL-048:የቅዱስ ዮሐንስ መጥምቅ መልክዕ በአማርኛ | GZ-MEL-059:መልክዐ ቅዱስ ኤልያስ ነቢይ ሣልስ በግእዝ | GZ-MEL-060:መልክዐ ቅዱስ ዮሐንስ መጥምቅ በግእዝ | GZ-MEL-061:መልክዐ ቅዱስ ዮሐንስ ካልእ በግእዝ | GZ-MEL-062:መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በግእዝ | GZ-MEL-104:መልክዐ አቡነ ዕጨጌ ዮሐንስ በግእዝ | GZ-MEL-109:መልክዐ አቡነ ዮሐንስ ከማ በግእዝ | GZ-MEL-110:መልክዐ አቡነ ዮሐንስ ዘድብረ ዳጋ በግእዝ | GZ-MEL-149:መልክዐ ዮሐንስ ወልደ ነጎድጓድ በግእዝ | GZ-MEL-150:መልክዐ ዮሐንስ ፍቁረ እግዚእ በግእዝ | AM-GDL-013:የቅዱስ ዮሐንስ ገድል በአማርኛ | AM-DRS-005:ድርሳነ ኤልያስ ነቢይ በአማርኛ | GZ-GDL-018:ገድለ አቡነ ዮሐንስ በግእዝ | AM-GDL-027:ገድለ አቡነ እጨጌ ዮሐንስ ዘጸገሮ በአማርኛ,"1-1, 1-1, 1-2, 1-2, 1-4, 1-4, 1-4, 1-4, 1-4, 1-4"
1-2,2,ቅዱስ ዳስያ ሰማዕት,ዳስያ,annual,NO_BOOK,,,
