eth_date,day_id,sinksar_saints_count,tselot_books_count,matched,missing_count,match_rate_percent,missing_saints_list
1-1,1,8,16,3,5,38,ርዕሰ ዓውደ ዓመት (annual) | ቅዱስ በርተሎሜዎስ ሐዋርያ (annual) | ቅዱስ /ማር/ ሚልኪ (ትሩፈ ምግባር) (annual) | ቅዱስ ኢዮብ ተአጋሲ (annual) | ቅዱስ ሜልዮስ ሊቀ ዻዻሳት (annual)
1-2,2,10,4,2,8,20,ቅዱስ ዳስያ ሰማዕት (annual) | ቅዱስ ዲዲሞስ ሰማዕት (annual) | ቅድስት መሪና (annual) | ቅዱስ ኢዮብ ጻድቅ ተአጋሲ (monthly) | ቅዱስ አቤል ጻድቅ (monthly) | ቅዱስ አባ ዻውሊ ገዳማዊ (ታላቁ) (monthly) | ቅዱስ ሳዊሮስ ዘአንጾኪያ (monthly) | አባ ሕርያቆስ ዘሃገረ ብሕንሳ (monthly)
1-3,3,13,11,4,9,31,አባ ሙሴ ዘደብረ ሲሐት (annual) | አባ አንበስ ኢትዮዽያዊ (annual) | አበው ኤዺስ ቆዾሳት (annual) | አባ ዲዮናስዮስ (annual) | አባ ዲዮስቆሮስ ሰማዕት (annual) | ቅዱስ በትንከል ዲያቆን (annual) | በዓታ ለእግዝእትነ ማርያም ድንግል ወላዲተ አምላክ (monthly) | ቅዱሳን ሊቃነ ካህናት አበው (ዘካርያስና ስምዖን) (monthly) | ቅዱስ ቄርሎስ ሊቅ (ዓምደ ሃይማኖት) (monthly)
1-4,4,8,10,4,4,50,ቅዱሳን ዘብዴዎስና ማርያም ባውፍልያ (annual) | አባ መቃርስ ሊቀ ዻዻሳት (annual) | አባ ሙሴ ዻዻስ (annual) | ቅድስት ሶፍያ ሰማዕት (monthly)
1-5,5,12,7,2,10,17,ቅድስት ሶፍያ ሰማዕት (annual) | ቅዱሳት አክሶስናና በርናባ (annual) | ቅዱስ ማማስ ሰማዕት (annual) | ቅዱሳን ቴዎዶስዮስና ታውፍና (annual) | አፄ ልብነ ድንግል (annual) | ቅዱስ ዼጥሮስ ሊቀ ሐዋርያት (monthly) | ቅዱስ ዻውሎስ ብርሃነ ዓለም (monthly) | ቅዱስ ዮሐኒ ኢትዮዽያዊ (monthly) | ቅዱስ አሞኒ ዘናሒሶ (monthly) | ቅድስት አውጋንያ (ሰማዕትና ጻድቅ) (monthly)
1-6,6,14,11,4,10,29,ቅድስት ሰብልትንያ ሰማዕት (annual) | አባ ያዕቆብ ገዳማዊ (annual) | ቅዱስ አናቲሞስ ኤዺስ ቆዾስ (annual) | ቅድስት ደብረ ቁስቁዋም (monthly) | አባታችን ኖኅና እናታችን ሐይከል (monthly) | ቅዱስ ባስልዮስ ዘቂሣርያ (monthly) | ቅዱስ ዮሴፍ አረጋዊ (monthly) | ቅድስት ሰሎሜ (monthly) | አባ አርከ ሥሉስ (monthly) | አባ ጽጌ ድንግል (monthly)
1-7,7,12,11,6,6,50,ቅዱስ ዲዮስቆሮስ ሊቅ (የተዋሕዶ ሃይማኖት አባት) (annual) | ቅዱሳን አጋቶን ዼጥሮስ ዮሐንስ አሞንና እናታቸው ራፊቃ (ሰማዕታት) (annual) | አባ ሲኖዳ (የባሕታውያን አለቃ) (monthly) | አባ ዳንኤል ዘገዳመ ሲሐት (monthly) | አባ ባውላ ገዳማዊ (monthly) | ቅዱስ አትናቴዎስ ሐዋርያዊ (monthly)
1-8,8,9,3,1,8,11,ቅዱስ ሙሴ ሊቀ ነቢያት (annual) | ቅዱስ ዘካርያስ ካህን (ጻድቅ ነቢይ) (annual) | ቅዱስ አሮን ካህን (annual) | ቅዱስ ዲማድዮስ ሰማዕት (annual) | ቅዱስ ማትያስ ሐዋርያ (ከ፲፪ቱ ሐዋርያት) (monthly) | ኪሩቤል (አርባዕቱ እንስሳ) (monthly) | አባ ብሶይ (ቢሾይ) (monthly) | አባ ሳሙኤል ዘደብረ ቀልሞን (monthly)
1-9,9,11,15,4,7,36,"ቅዱስ ቢሶራ ሰማዕት (annual) | ቅዱስ ያሳይ ንጉሥ (annual) | ቅዱስ ፋሲለደስ ሰማዕት (ልደቱ) (annual) | ""፲፬,፯፴"" ሰማዕታት (የቅዱስ ፋሲለደስ ማሕበር) (annual) | አባ በርሱማ ሶርያዊ (ለሶርያ መነኮሳት ኁሉ አባት) (monthly) | ""፫፲፰ቱ"" ቅዱሳን ሊቃውንት (ርቱዐነ ሃይማኖት ዘኒቅያ) (monthly) | የብሔረ ብፁዐን ጻድቃን (monthly)"
1-10,10,16,6,3,13,19,ቅድስት ድንግል እግዝእትነ ማርያም (annual) | በዓለ ስዕለ አድኅኖ (annual) | ቅዱስ ሉቃስ ወንጌላዊ (annual) | ቅድስት ማርታ ዘጼዴንያ (annual) | ቅድስት ዮዲት ጥበበኛዋ (annual) | ንግስተ ሳባ / ማክዳ / አዜብ (annual) | ቅድስት መጥሮንያ ሰማዕት (annual) | አፄ ዳዊት ንጉሥ (annual) | ቅድስት አትናስያና ፫ ልጆቿ (annual) | ቅዱስ ናትናኤል ሐዋርያ (monthly) | ቅዱስ ኒቆላዎስ ዘሃገረ ሜራ (monthly) | ቅዱስ ያዕቆብ ሐዋርያ (ወልደ እልፍዮስ) (monthly) | ቅድስት ዕሌኒ ንግስት (monthly)
1-11,11,10,10,4,6,40,"ቅድስት ታኦድራ እናታችን (annual) | ቅዱስ ቆርኔሌዎስ ሐዋርያዊ (ሐዋ (annual) | ፲ን ያንብቡ) (annual) | ቅድስት በነፍዝዝ ሰማዕት (annual) | ""፫ቱ"" ገበሬዎች ሰማዕታት (ሱርስ፣ አጤኬዎስና ፣ መስተሐድራ) (annual) | ማር ገላውዴዎስ ሰማዕት (monthly)"
1-12,12,14,22,5,9,36,ቅዱሳን ፳፻ው ሊቃውንት (በኤፌሶን የተሰበሰቡ) (annual) | ቅዱስ ቄርሎስ ዓምደ ሃይማኖት (annual) | ጻድቅ ንጉሥ ቴዎዶስዮስ (annual) | ቅዱስ እስጢፋኖስ ሊቀ ዲያቆናት (annual) | ቅዱስ ኢሳይያስ ነቢይ (annual) | ቅዱስ ማቴዎስ ሐዋርያ (monthly) | ቅዱስ ድሜጥሮስ (monthly) | ቅዱስ ዮሐንስ አፈ ወርቅ (monthly) | ቅድስት ክርስቶስ ሠምራ (monthly)
1-13,13,9,15,4,5,44,"አባ ይስሐቅ ባሕታዊ (annual) | ""፱፱ኙ"" ነገደ መላዕክት (monthly) | ቅዱስ አስከናፍር (monthly) | ""፲፫ቱ"" ግኁሳን አባቶች (monthly) | ቅዱስ አርሳንዮስ ጠቢብ ገዳማዊ (monthly)"
1-14,14,11,2,1,10,9,አባ አጋቶን ዘዓምድ (annual) | አቡነ ያሳይ ዘመንዳባ (annual) | አባ ዼጥሮስ መምሕረ ጻና (ጣና) (annual) | ቅዱስ ዴግና ቀሲስ (annual) | ቅዱስ ገብረ ክርስቶስ መርዓዊ (monthly) | ቅዱስ ፊልዾስ ሐዋርያ (monthly) | ቅዱስ ሙሴ ( የእግዚአብሔር ሰው) (monthly) | አባ ስምዖን ገዳማዊ (monthly) | አባ ዮሐንስ ጻድቅ (monthly) | እናታችን ቅድስት ነሣሒት (monthly)
